Datetime,beaconid,realx,realy,edge_50,edge_51,edge_53,edge_54,edge_55,edge_56,edge_58
2019-03-22T17:09:57.500000Z,3,2.1603333333333334,3.2396666666666665,-83.5,-64.0,-70.0,-79.75,-69.66666666666667,-80.66666666666667,-69.25
2019-03-22T17:09:58.000000Z,3,2.1631666666666667,3.065833333333333,-70.0,-71.0,-62.25,-85.5,-69.0,-81.0,-64.5
2019-03-22T17:09:58.500000Z,3,2.2651666666666666,2.8529166666666668,-76.25,-66.33333333333333,-59.75,-73.0,-72.0,-82.0,-71.66666666666667
2019-03-22T17:09:59.000000Z,3,2.364333333333333,2.813833333333333,-75.0,-68.0,-68.66666666666667,-81.0,-74.0,-81.0,-75.66666666666667
2019-03-22T17:09:59.500000Z,3,2.4635,2.77475,-77.75,-78.0,-69.75,-72.25,-76.0,-81.0,-71.66666666666667
2019-03-22T17:10:00.000000Z,3,2.5626666666666664,2.7356666666666665,-80.0,-76.0,-67.75,-74.5,-78.33333333333333,-78.5,-72.75
2019-03-22T17:10:00.500000Z,3,2.661833333333333,2.6965833333333333,-82.5,-76.5,-71.0,-76.66666666666667,-89.0,-71.25,-66.75
2019-03-22T17:10:01.000000Z,3,2.761,2.6574999999999998,-84.0,-84.66666666666667,-69.0,-84.5,-76.5,-81.66666666666667,-66.33333333333333
2019-03-22T17:10:01.500000Z,3,2.8601666666666667,2.6184166666666666,-89.66666666666667,-86.5,-65.75,-73.33333333333333,-72.0,-74.0,-64.0
2019-03-22T17:10:02.000000Z,3,2.9593333333333334,2.5793333333333335,-79.0,-76.5,-66.0,-66.0,-72.0,-78.0,-66.0
2019-03-22T17:10:02.500000Z,3,3.0585,2.54025,-83.66666666666667,-76.5,-64.0,-72.0,-69.5,-78.0,-60.0
2019-03-22T17:10:03.000000Z,3,3.1576666666666666,2.5011666666666668,-83.66666666666667,-74.25,-64.75,-86.5,-77.5,-78.25,-57.0
2019-03-22T17:10:03.500000Z,3,3.2568333333333332,2.462083333333333,-79.0,-63.0,-65.5,-82.33333333333333,-64.66666666666667,-74.5,-61.0
2019-03-22T17:10:04.000000Z,3,3.5029999999999997,2.403714285714286,-76.33333333333333,-71.66666666666667,-68.4,-73.33333333333333,-69.5,-71.5,-68.66666666666667
2019-03-22T17:10:04.500000Z,3,3.65,2.3844285714285713,-81.66666666666667,-75.0,-69.0,-83.33333333333333,-70.5,-79.5,-61.333333333333336
2019-03-22T17:10:05.000000Z,3,3.7969999999999997,2.365142857142857,-77.0,-79.66666666666667,-64.25,-66.0,-66.5,-75.66666666666667,-68.5
2019-03-22T17:10:05.500000Z,3,3.944,2.3458571428571426,-72.0,-77.66666666666667,-58.5,-72.0,-66.25,-69.0,-66.75
2019-03-22T17:10:06.000000Z,3,4.091,2.3265714285714285,-87.0,-74.0,-63.666666666666664,-73.0,-73.0,-69.66666666666667,-63.666666666666664
2019-03-22T17:10:06.500000Z,3,4.2379999999999995,2.307285714285714,-79.0,-82.5,-68.66666666666667,-69.0,-71.66666666666667,-78.33333333333333,-62.5
2019-03-22T17:10:07.000000Z,3,4.5285,2.286833333333333,-77.5,-81.0,-64.0,-67.0,-77.0,-71.5,-57.0
2019-03-22T17:10:07.500000Z,3,4.672,2.2856666666666667,-76.0,-75.75,-75.5,-82.0,-65.66666666666667,-72.25,-63.666666666666664
2019-03-22T17:10:08.000000Z,3,4.8155,2.2845,-75.0,-68.0,-66.25,-80.0,-63.5,-77.0,-72.33333333333333
2019-03-22T17:10:08.500000Z,3,4.9590000000000005,2.283333333333333,-88.5,-67.0,-68.66666666666667,-81.0,-62.0,-67.5,-72.33333333333333
2019-03-22T17:10:09.000000Z,3,5.1025,2.282166666666667,-87.0,-76.0,-73.66666666666667,-78.75,-72.25,-81.0,-70.0
2019-03-22T17:10:09.500000Z,3,5.402333333333334,2.281,-70.5,-72.0,-71.33333333333333,-69.0,-74.25,-79.33333333333333,-65.25
2019-03-22T17:10:10.000000Z,3,5.558666666666667,2.281,-78.0,-70.5,-66.0,-75.0,-56.5,-68.0,-69.5
2019-03-22T17:10:10.500000Z,3,5.715,2.281,-79.66666666666667,-74.75,-62.0,-81.0,-58.0,-74.5,-67.66666666666667
2019-03-22T17:10:11.000000Z,3,5.871333333333333,2.281,-87.5,-81.0,-66.0,-67.0,-77.0,-78.33333333333333,-69.0
2019-03-22T17:10:11.500000Z,3,6.027666666666667,2.281,-85.0,-73.0,-76.0,-66.66666666666667,-62.25,-70.75,-80.66666666666667
2019-03-22T17:10:12.000000Z,3,6.348571428571429,2.2772857142857146,-82.75,-77.66666666666667,-71.66666666666667,-62.8,-70.5,-75.0,-81.0
2019-03-22T17:10:12.500000Z,3,6.513142857142857,2.2735714285714286,-75.0,-81.0,-68.66666666666667,-62.333333333333336,-69.5,-68.0,-70.6
2019-03-22T17:10:13.000000Z,3,6.677714285714286,2.269857142857143,-92.0,-76.33333333333333,-80.5,-64.0,-64.5,-62.0,-77.0
2019-03-22T17:10:13.500000Z,3,6.8422857142857145,2.266142857142857,-80.0,-72.5,-74.0,-53.5,-68.5,-64.0,-71.0
2019-03-22T17:10:14.000000Z,3,7.006857142857143,2.2624285714285715,-88.33333333333333,-82.5,-72.0,-64.6,-69.0,-69.5,-73.25
2019-03-22T17:10:14.500000Z,3,7.171428571428572,2.2587142857142855,-79.0,-81.66666666666667,-81.0,-59.0,-71.33333333333333,-69.5,-72.0
2019-03-22T17:10:15.000000Z,3,7.434727272727273,2.339272727272727,-79.0,-84.0,-83.5,-61.0,-70.5,-80.33333333333333,-76.66666666666667
2019-03-22T17:10:15.500000Z,3,7.533454545454545,2.4235454545454544,-84.33333333333333,-80.5,-70.0,-67.75,-72.5,-80.0,-72.0
2019-03-22T17:10:16.000000Z,3,7.632181818181818,2.5078181818181817,-84.0,-83.66666666666667,-70.0,-62.666666666666664,-61.0,-72.5,-71.66666666666667
2019-03-22T17:10:16.500000Z,3,7.730909090909091,2.592090909090909,-80.0,-81.0,-74.33333333333333,-62.0,-65.5,-73.0,-84.0
2019-03-22T17:10:17.000000Z,3,7.829636363636364,2.6763636363636363,-85.0,-79.33333333333333,-76.33333333333333,-65.0,-61.666666666666664,-73.33333333333333,-79.0
2019-03-22T17:10:17.500000Z,3,7.9283636363636365,2.7606363636363636,-78.0,-79.66666666666667,-77.0,-65.0,-60.666666666666664,-76.5,-87.5
2019-03-22T17:10:18.000000Z,3,8.02709090909091,2.844909090909091,-84.0,-81.0,-74.5,-62.0,-54.0,-76.0,-81.0
2019-03-22T17:10:18.500000Z,3,8.125818181818182,2.929181818181818,-83.0,-84.0,-74.5,-62.0,-61.0,-79.0,-84.0
2019-03-22T17:10:19.000000Z,3,8.224545454545455,3.0134545454545454,-95.0,-73.25,-87.5,-71.0,-63.0,-78.5,-74.0
2019-03-22T17:10:19.500000Z,3,8.323272727272728,3.0977272727272727,-89.0,-72.0,-79.5,-71.33333333333333,-54.0,-81.0,-74.0
2019-03-22T17:10:20.000000Z,3,8.420875,3.31425,-81.66666666666667,-78.75,-75.0,-74.0,-60.0,-78.5,-79.0
2019-03-22T17:10:20.500000Z,3,8.41975,3.4465,-97.0,-81.0,-74.0,-68.0,-54.0,-69.66666666666667,-79.33333333333333
2019-03-22T17:10:21.000000Z,3,8.418625,3.57875,-89.0,-73.0,-70.0,-76.5,-60.333333333333336,-75.0,-81.66666666666667
2019-03-22T17:10:21.500000Z,3,8.4175,3.7110000000000003,-83.5,-71.0,-73.5,-70.5,-66.33333333333333,-64.66666666666667,-81.66666666666667
2019-03-22T17:10:22.000000Z,3,8.416375,3.8432500000000003,-80.66666666666667,-82.0,-73.66666666666667,-76.66666666666667,-72.2,-70.6,-75.5
2019-03-22T17:10:22.500000Z,3,8.41525,3.9755000000000003,-86.0,-90.5,-71.75,-77.0,-73.0,-72.33333333333333,-80.75
