Datetime,accx,accy,accz
2019-04-04T17:40:08.800234Z,0.102716,0.045432,0.036049
2019-04-04T17:40:08.996234Z,0.009334,0.0023989999999999997,0.038676
2019-04-04T17:40:09.190234Z,0.021123,0.023181,-0.038883
2019-04-04T17:40:09.388234Z,0.138638,0.23251599999999997,-0.14164000000000002
2019-04-04T17:40:09.599234Z,0.440122,0.099971,0.09841699999999999
2019-04-04T17:40:09.799234Z,-0.050513999999999996,-0.7013229999999999,0.10946099999999999
2019-04-04T17:40:09.990234Z,0.209738,-0.8713860000000001,0.718019
2019-04-04T17:40:10.199234Z,0.199522,0.33497899999999997,-0.7965220000000001
2019-04-04T17:40:10.418234Z,-0.527924,0.546583,-1.004853
2019-04-04T17:40:10.598234Z,-1.062081,1.233268,-0.644153
2019-04-04T17:40:10.794234Z,-0.134783,0.830725,-0.039264
2019-04-04T17:40:10.994234Z,-0.050148000000000005,0.7884899999999999,-0.104841
2019-04-04T17:40:11.197234Z,-0.0007570000000000001,-0.416095,0.5127149999999999
2019-04-04T17:40:11.390234Z,0.157592,-0.807493,-0.060535000000000005
2019-04-04T17:40:11.599234Z,-0.106974,0.257949,-0.493634
2019-04-04T17:40:11.799234Z,-0.441129,0.49958199999999997,0.59919
2019-04-04T17:40:12.002234Z,-0.155872,-1.002777,0.835149
2019-04-04T17:40:12.198234Z,0.051117,-0.927616,-0.610472
2019-04-04T17:40:12.396234Z,0.33010900000000004,-0.087715,0.028318
2019-04-04T17:40:12.595234Z,0.275055,-0.038785,0.640143
2019-04-04T17:40:12.790234Z,0.598526,-0.908875,0.59785
2019-04-04T17:40:12.997234Z,0.06543500000000001,-0.5533779999999999,-0.624787
2019-04-04T17:40:13.197234Z,0.20011199999999998,0.38374,-0.084079
2019-04-04T17:40:13.391234Z,-0.050258,0.123856,0.551007
2019-04-04T17:40:13.597234Z,0.280616,-0.8410209999999999,0.530948
2019-04-04T17:40:13.801234Z,0.745518,-1.155605,0.21698499999999998
2019-04-04T17:40:14.001234Z,0.141325,-0.830823,0.173521
2019-04-04T17:40:14.192234Z,0.944509,0.47541700000000003,0.45487799999999995
2019-04-04T17:40:14.399234Z,-0.38493499999999997,0.025699,0.368095
2019-04-04T17:40:14.600234Z,-0.72927,-1.393766,0.523436
2019-04-04T17:40:14.793234Z,0.273084,-1.250441,0.12989900000000001
2019-04-04T17:40:14.994234Z,-0.138605,-0.5221020000000001,-0.31143699999999996
2019-04-04T17:40:15.213234Z,-0.11607,-0.229093,-0.160563
2019-04-04T17:40:15.399234Z,0.012742,0.340792,0.437173
2019-04-04T17:40:15.600234Z,-0.305821,-0.780053,0.826213
2019-04-04T17:40:15.799234Z,-0.714561,-1.8943,-0.211577
2019-04-04T17:40:16.000234Z,-0.469124,-0.608106,-0.143026
2019-04-04T17:40:16.195234Z,0.05330700000000001,0.547793,0.06922400000000001
2019-04-04T17:40:16.395234Z,-0.128248,-0.54422,0.48758500000000005
2019-04-04T17:40:16.594234Z,0.050395,-1.105587,1.046294
2019-04-04T17:40:16.801234Z,0.206862,-1.009668,0.10763099999999999
2019-04-04T17:40:16.994234Z,0.5206430000000001,-0.980032,0.06745
2019-04-04T17:40:17.193234Z,-0.077929,-0.17346,0.042543
2019-04-04T17:40:17.402234Z,-0.703414,0.579259,0.22373400000000002
2019-04-04T17:40:17.601234Z,-0.272656,0.2656,0.28360100000000005
2019-04-04T17:40:17.800234Z,-0.272942,-0.935053,1.0021440000000001
2019-04-04T17:40:17.996234Z,-0.135347,-1.372309,-0.001256
2019-04-04T17:40:18.201234Z,-0.290339,-1.055213,-0.347534
2019-04-04T17:40:18.414234Z,-0.578493,-0.552546,0.09423200000000001
2019-04-04T17:40:18.600234Z,-1.155571,-0.798549,0.308693
2019-04-04T17:40:18.797234Z,-0.57126,-1.2391159999999999,0.374702
2019-04-04T17:40:18.999234Z,-0.9135120000000001,-0.912168,-0.131185
2019-04-04T17:40:19.200234Z,0.70507,-0.102907,-0.013068000000000001
2019-04-04T17:40:19.397234Z,1.402699,0.494241,0.100494
2019-04-04T17:40:19.603234Z,0.8545,-1.394967,0.665449
2019-04-04T17:40:19.803234Z,2.171734,0.780442,1.007758
2019-04-04T17:40:19.997234Z,0.677558,-0.010020999999999999,-0.029394999999999998
2019-04-04T17:40:20.202234Z,0.51408,-0.35692399999999996,0.007934
2019-04-04T17:40:20.397234Z,0.45343,-0.806401,-0.068962
2019-04-04T17:40:20.595234Z,-0.023582,-0.524057,-0.10660399999999999
2019-04-04T17:40:20.800234Z,-0.234315,0.195009,-0.11953599999999999
2019-04-04T17:40:20.996234Z,-0.8979030000000001,-0.526443,-0.060869000000000006
2019-04-04T17:40:21.201234Z,0.155722,-0.858274,0.333017
2019-04-04T17:40:21.401234Z,0.30130999999999997,-0.000227,0.024428000000000002
2019-04-04T17:40:21.598234Z,0.711591,-0.251671,0.579208
2019-04-04T17:40:21.801234Z,1.260808,-0.51788,0.33132399999999995
2019-04-04T17:40:22.051234Z,0.778541,-0.10780899999999999,-0.351111
2019-04-04T17:40:22.197234Z,0.200423,0.453183,0.191104
2019-04-04T17:40:22.413234Z,0.519157,0.36044299999999996,0.40924
2019-04-04T17:40:22.600234Z,0.451708,-0.7795569999999999,0.368149
2019-04-04T17:40:22.802234Z,0.975166,-0.565446,-0.359495
2019-04-04T17:40:22.999234Z,0.6166739999999999,-0.156823,0.5265989999999999
2019-04-04T17:40:23.203234Z,1.4261780000000002,0.010293,0.370315
2019-04-04T17:40:23.399234Z,0.8907430000000001,-0.9318930000000001,0.41771
2019-04-04T17:40:23.600234Z,1.1393719999999998,-0.285119,-0.459557
2019-04-04T17:40:23.853234Z,1.187443,0.358282,0.8830469999999999
2019-04-04T17:40:23.998234Z,0.221886,-0.7499600000000001,1.038297
2019-04-04T17:40:24.200234Z,0.809991,-0.623362,0.014078
2019-04-04T17:40:24.399234Z,0.47456499999999996,-0.44016400000000006,-0.795031
2019-04-04T17:40:24.604234Z,-0.47030900000000003,0.28218200000000004,-0.074753
2019-04-04T17:40:24.803234Z,-0.600842,-0.736052,1.068908
2019-04-04T17:40:25.005234Z,0.6488970000000001,-0.47683000000000003,-0.084367
2019-04-04T17:40:25.205234Z,0.304274,-0.391167,-0.02324
2019-04-04T17:40:25.407234Z,0.541624,-0.423397,0.193746
2019-04-04T17:40:25.681234Z,-0.21050500000000003,-0.706348,0.606299
2019-04-04T17:40:25.802234Z,0.23293899999999998,-0.488299,-0.23163899999999998
