Datetime,beaconid,realx,realy,edge_51,edge_53,edge_55,edge_56,edge_57
2019-04-01T23:08:35.000000Z,3,8.061333333333334,2.289,-78.5,-80.5,-84.0,-64.5,-83.0
2019-04-01T23:08:35.500000Z,3,8.242666666666667,2.2975,-76.25,-79.33333333333333,-67.66666666666667,-79.33333333333333,-79.0
2019-04-01T23:08:36.000000Z,3,8.423714285714285,2.431142857142857,-80.66666666666667,-68.0,-66.5,-72.0,-71.0
2019-04-01T23:08:36.500000Z,3,8.423428571428571,2.5562857142857145,-82.5,-78.4,-74.25,-82.33333333333333,-83.25
2019-04-01T23:08:37.000000Z,3,8.423142857142857,2.6814285714285715,-83.0,-85.0,-63.5,-84.0,-75.0
2019-04-01T23:08:37.500000Z,3,8.422857142857143,2.8065714285714285,-77.5,-74.25,-70.5,-77.0,-73.33333333333333
2019-04-01T23:08:38.000000Z,3,8.422571428571429,2.9317142857142855,-67.0,-72.5,-78.5,-82.5,-68.0
2019-04-01T23:08:38.500000Z,3,8.422285714285715,3.056857142857143,-73.0,-80.0,-77.66666666666667,-78.0,-78.0
2019-04-01T23:08:39.000000Z,3,8.420875,3.31425,-73.0,-79.33333333333333,-77.66666666666667,-79.5,-79.0
2019-04-01T23:08:39.500000Z,3,8.41975,3.4465,-74.5,-77.33333333333333,-64.0,-83.0,-85.0
2019-04-01T23:08:40.000000Z,3,8.418625,3.57875,-85.0,-82.0,-75.0,-71.6,-73.75
2019-04-01T23:08:40.500000Z,3,8.4175,3.7110000000000003,-80.5,-78.66666666666667,-71.25,-71.6,-73.75
2019-04-01T23:08:41.000000Z,3,8.416375,3.8432500000000003,-72.0,-84.0,-73.0,-76.0,-66.0
2019-04-01T23:08:41.500000Z,3,8.41525,3.9755000000000003,-79.33333333333333,-76.0,-73.0,-75.0,-66.0
2019-04-01T23:08:42.000000Z,3,8.414125,4.10775,-80.5,-75.66666666666667,-61.0,-81.0,-66.0
2019-04-01T23:08:42.500000Z,3,8.401666666666667,4.413833333333334,-90.0,-86.5,-75.0,-78.0,-73.5
