Datetime,beaconid,realx,realy,edge_50,edge_51,edge_52,edge_53,edge_54,edge_55,edge_56,edge_57,edge_58
2019-04-05T19:19:58.500000Z,8,1.075,9.37,-59.0,-69.25,-63.8,-67.5,-69.0,-94.0,-75.75,-66.5,-73.4
2019-04-05T19:19:59.000000Z,8,1.076,9.136,-59.0,-69.25,-63.8,-67.5,-69.0,-76.0,-75.75,-66.5,-73.4
2019-04-05T19:19:59.500000Z,8,1.077,8.902,-57.5,-57.333333333333336,-58.333333333333336,-58.75,-74.75,-67.33333333333333,-70.0,-71.75,-66.66666666666667
2019-04-05T19:20:00.000000Z,8,1.078,8.668,-56.666666666666664,-65.5,-75.0,-55.0,-71.0,-68.5,-78.5,-77.33333333333333,-71.33333333333333
2019-04-05T19:20:00.500000Z,8,1.079,8.434,-51.666666666666664,-60.333333333333336,-65.0,-60.333333333333336,-70.5,-69.0,-83.33333333333333,-59.0,-65.0
2019-04-05T19:20:01.000000Z,8,1.1,7.981714285714285,-51.333333333333336,-63.0,-61.333333333333336,-80.0,-68.66666666666667,-61.5,-76.0,-71.25,-58.0
2019-04-05T19:20:01.500000Z,8,1.12,7.7634285714285705,-44.0,-60.333333333333336,-59.666666666666664,-67.0,-71.66666666666667,-69.0,-62.666666666666664,-74.0,-62.333333333333336
2019-04-05T19:20:02.000000Z,8,1.1400000000000001,7.5451428571428565,-46.5,-58.5,-49.5,-72.0,-58.0,-65.75,-64.33333333333333,-70.5,-52.333333333333336
2019-04-05T19:20:02.500000Z,8,1.16,7.3268571428571425,-59.666666666666664,-62.75,-48.0,-62.0,-71.66666666666667,-64.5,-63.0,-65.0,-52.0
2019-04-05T19:20:03.000000Z,8,1.18,7.1085714285714285,-60.333333333333336,-53.8,-52.5,-51.666666666666664,-76.5,-64.0,-65.75,-62.0,-57.0
2019-04-05T19:20:03.500000Z,8,1.2,6.890285714285714,-48.0,-54.0,-50.0,-68.0,-67.0,-65.0,-62.5,-69.0,-58.0
2019-04-05T19:20:04.000000Z,8,1.4146,6.686,-62.0,-62.5,-62.0,-63.25,-70.0,-65.0,-62.0,-69.0,-58.5
2019-04-05T19:20:04.500000Z,8,1.6092,6.7,-63.666666666666664,-53.4,-61.75,-63.5,-67.25,-53.333333333333336,-62.0,-59.5,-54.333333333333336
2019-04-05T19:20:05.000000Z,8,1.8038,6.7139999999999995,-67.33333333333333,-69.66666666666667,-61.0,-65.5,-58.2,-58.666666666666664,-70.25,-53.75,-58.0
