Datetime,beaconid,edgenodeid,rssi,realx,realy
2019-05-07T03:09:10.000000Z,1,50,-61.5,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,56,-80.5,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,53,-71.33333333333333,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,51,-76.5,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,57,-59.5,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,58,-68.25,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,55,-68.8,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,54,-76.0,2.1426,5.715599999999999
2019-05-07T03:09:10.000000Z,1,52,-65.6,2.1426,5.715599999999999
2019-05-07T03:09:10.500000Z,1,52,-66.5,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,57,-56.25,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,53,-77.25,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,58,-68.5,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,56,-74.0,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,55,-64.4,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,54,-70.25,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,50,-60.0,2.1552,5.9722
2019-05-07T03:09:10.500000Z,1,51,-71.0,2.1552,5.9722
2019-05-07T03:09:11.000000Z,1,56,-73.33333333333333,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,58,-70.0,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,50,-62.333333333333336,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,54,-72.5,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,55,-61.0,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,53,-71.5,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,57,-63.333333333333336,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,52,-74.33333333333333,2.1678,6.2288
2019-05-07T03:09:11.000000Z,1,51,-68.33333333333333,2.1678,6.2288
2019-05-07T03:09:11.500000Z,1,54,-69.33333333333333,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,55,-65.0,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,53,-71.33333333333333,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,56,-72.5,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,51,-61.333333333333336,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,50,-57.5,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,57,-66.5,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,52,-67.5,2.1804,6.4854
2019-05-07T03:09:11.500000Z,1,58,-68.0,2.1804,6.4854
2019-05-07T03:09:12.000000Z,1,52,-66.6,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,56,-68.8,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,57,-73.8,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,55,-72.0,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,54,-77.2,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,50,-53.2,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,51,-64.4,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,58,-71.66666666666667,1.94975,6.7245
2019-05-07T03:09:12.000000Z,1,53,-68.5,1.94975,6.7245
2019-05-07T03:09:12.500000Z,1,52,-65.0,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,55,-76.33333333333333,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,57,-65.33333333333333,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,53,-76.8,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,50,-53.4,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,54,-79.5,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,51,-56.6,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,58,-67.25,1.7065000000000001,6.707
2019-05-07T03:09:12.500000Z,1,56,-66.25,1.7065000000000001,6.707
2019-05-07T03:09:13.000000Z,1,58,-68.5,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,53,-64.0,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,51,-64.25,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,50,-53.0,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,55,-71.2,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,54,-74.0,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,57,-68.33333333333333,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,52,-67.0,1.46325,6.6895
2019-05-07T03:09:13.000000Z,1,56,-72.0,1.46325,6.6895
2019-05-07T03:09:13.500000Z,1,55,-69.33333333333333,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,58,-59.8,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,50,-60.25,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,53,-58.5,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,57,-71.5,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,51,-66.75,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,54,-71.0,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,52,-61.0,1.2075,6.3025
2019-05-07T03:09:13.500000Z,1,56,-68.0,1.2075,6.3025
2019-05-07T03:09:14.000000Z,1,57,-70.0,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,52,-60.0,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,50,-66.75,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,55,-71.0,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,54,-68.0,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,51,-56.6,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,53,-66.4,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,58,-70.33333333333333,1.1949999999999998,5.933
2019-05-07T03:09:14.000000Z,1,56,-72.0,1.1949999999999998,5.933
2019-05-07T03:09:14.500000Z,1,56,-73.8,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,52,-62.2,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,57,-66.2,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,51,-63.6,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,53,-64.4,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,58,-66.8,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,50,-68.6,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,54,-64.66666666666667,1.1824999999999999,5.5634999999999994
2019-05-07T03:09:14.500000Z,1,55,-70.83333333333333,1.1824999999999999,5.5634999999999994
