Datetime,realx,realy
2019-05-07T22:46:15.040125Z,3.216,6.692
2019-05-07T22:46:15.500000Z,3.208,6.368
2019-05-07T22:46:16.000000Z,3.2,6.0440000000000005
2019-05-07T22:46:16.500000Z,3.192,5.72
2019-05-07T22:46:16.698125Z,3.184,5.396
2019-05-07T22:46:17.000000Z,2.832666666666667,5.417
2019-05-07T22:46:17.500000Z,2.481333333333333,5.438
2019-05-07T22:46:17.770125Z,2.13,5.459
2019-05-07T22:46:18.000000Z,1.89,5.3927499999999995
2019-05-07T22:46:18.500000Z,1.65,5.326499999999999
2019-05-07T22:46:19.000000Z,1.41,5.26025
2019-05-07T22:46:19.051125Z,1.17,5.194
2019-05-07T22:46:19.500000Z,1.16,4.737333333333333
2019-05-07T22:46:20.000000Z,1.15,4.280666666666667
2019-05-07T22:46:20.187125Z,1.14,3.824
2019-05-07T22:46:20.500000Z,1.1383333333333332,3.454333333333333
2019-05-07T22:46:21.000000Z,1.1366666666666667,3.0846666666666667
2019-05-07T22:46:21.371125Z,1.135,2.715
2019-05-07T22:46:21.500000Z,1.39275,2.7592499999999998
2019-05-07T22:46:22.000000Z,1.6505,2.8034999999999997
2019-05-07T22:46:22.500000Z,1.90825,2.84775
2019-05-07T22:46:22.788125Z,2.166,2.892
2019-05-07T22:46:23.000000Z,2.48,2.9364999999999997
2019-05-07T22:46:23.500000Z,2.794,2.981
2019-05-07T22:46:24.000000Z,3.108,3.0255
2019-05-07T22:46:24.187125Z,3.422,3.07
2019-05-07T22:46:24.500000Z,3.7706666666666666,3.0709999999999997
2019-05-07T22:46:25.000000Z,4.1193333333333335,3.072
2019-05-07T22:46:25.449125Z,4.468,3.073
2019-05-07T22:46:25.500000Z,4.739333333333334,3.0949999999999998
2019-05-07T22:46:26.000000Z,5.010666666666666,3.117
2019-05-07T22:46:26.279125Z,5.282,3.139
2019-05-07T22:46:26.500000Z,5.2700000000000005,2.8529999999999998
2019-05-07T22:46:27.000000Z,5.258,2.567
2019-05-07T22:46:27.186125Z,5.246,2.281
2019-05-07T22:46:27.500000Z,5.256,2.09125
2019-05-07T22:46:28.000000Z,5.266,1.9015
2019-05-07T22:46:28.500000Z,5.276,1.71175
2019-05-07T22:46:28.671125Z,5.286,1.522
2019-05-07T22:46:29.000000Z,5.571,1.5206666666666666
2019-05-07T22:46:29.500000Z,5.856,1.5193333333333334
2019-05-07T22:46:29.508125Z,6.141,1.518
2019-05-07T22:46:30.000000Z,6.527666666666667,1.49
2019-05-07T22:46:30.500000Z,6.914333333333333,1.462
2019-05-07T22:46:30.666125Z,7.301,1.434
2019-05-07T22:46:31.000000Z,7.676666666666667,1.415
2019-05-07T22:46:31.500000Z,8.052333333333333,1.396
2019-05-07T22:46:31.752125Z,8.428,1.377
2019-05-07T22:46:32.000000Z,8.812000000000001,1.3966666666666667
2019-05-07T22:46:32.500000Z,9.196,1.4163333333333332
2019-05-07T22:46:32.729125Z,9.58,1.436
2019-05-07T22:46:33.000000Z,9.569666666666667,1.7096666666666667
2019-05-07T22:46:33.500000Z,9.559333333333333,1.9833333333333334
2019-05-07T22:46:33.632125Z,9.549,2.257
2019-05-07T22:46:34.000000Z,9.565666666666667,2.5773333333333333
2019-05-07T22:46:34.500000Z,9.582333333333333,2.897666666666667
2019-05-07T22:46:34.605125Z,9.599,3.218
2019-05-07T22:46:35.000000Z,9.5825,3.7225
2019-05-07T22:46:35.475125Z,9.566,4.227
2019-05-07T22:46:35.500000Z,9.551,4.49275
2019-05-07T22:46:36.000000Z,9.536000000000001,4.7585
2019-05-07T22:46:36.500000Z,9.521,5.02425
2019-05-07T22:46:36.539125Z,9.506,5.29
2019-05-07T22:46:37.000000Z,9.119,5.2876666666666665
2019-05-07T22:46:37.500000Z,8.732000000000001,5.285333333333334
2019-05-07T22:46:37.971125Z,8.345,5.283
2019-05-07T22:46:38.000000Z,8.362,5.0222500000000005
2019-05-07T22:46:38.500000Z,8.379000000000001,4.7615
2019-05-07T22:46:39.000000Z,8.396,4.50075
2019-05-07T22:46:39.007125Z,8.413,4.24
2019-05-07T22:46:39.500000Z,8.4175,3.7110000000000003
2019-05-07T22:46:39.697125Z,8.422,3.182
2019-05-07T22:46:40.000000Z,8.203800000000001,3.178
2019-05-07T22:46:40.500000Z,7.985600000000001,3.174
2019-05-07T22:46:41.000000Z,7.7674,3.17
2019-05-07T22:46:41.500000Z,7.549200000000001,3.166
2019-05-07T22:46:41.971125Z,7.331,3.162
2019-05-07T22:46:42.000000Z,7.33225,2.93525
2019-05-07T22:46:42.500000Z,7.333500000000001,2.7085
2019-05-07T22:46:43.000000Z,7.3347500000000005,2.48175
2019-05-07T22:46:43.232125Z,7.336,2.255
2019-05-07T22:46:43.500000Z,7.048,2.2615
2019-05-07T22:46:44.000000Z,6.76,2.268
2019-05-07T22:46:44.500000Z,6.472,2.2745
2019-05-07T22:46:44.869125Z,6.184,2.281
2019-05-07T22:46:45.000000Z,6.0036000000000005,2.4526
2019-05-07T22:46:45.500000Z,5.8232,2.6242
2019-05-07T22:46:46.000000Z,5.6428,2.7958
2019-05-07T22:46:46.500000Z,5.4624,2.9673999999999996
2019-05-07T22:46:46.762125Z,5.282,3.139
2019-05-07T22:46:47.000000Z,5.1104,2.8266
2019-05-07T22:46:47.500000Z,4.9388000000000005,2.5141999999999998
2019-05-07T22:46:48.000000Z,4.767200000000001,2.2018
2019-05-07T22:46:48.500000Z,4.5956,1.8894
2019-05-07T22:46:48.973125Z,4.424,1.577
2019-05-07T22:46:49.000000Z,4.257000000000001,1.8258333333333332
2019-05-07T22:46:49.500000Z,4.09,2.0746666666666664
2019-05-07T22:46:50.000000Z,3.923,2.3235
2019-05-07T22:46:50.500000Z,3.7560000000000002,2.5723333333333334
2019-05-07T22:46:51.000000Z,3.5890000000000004,2.8211666666666666
2019-05-07T22:46:51.407125Z,3.422,3.07
2019-05-07T22:46:51.500000Z,3.26575,2.9044999999999996
2019-05-07T22:46:52.000000Z,3.1095,2.739
2019-05-07T22:46:52.500000Z,2.95325,2.5735
2019-05-07T22:46:53.000000Z,2.797,2.408
2019-05-07T22:46:53.500000Z,2.64075,2.2424999999999997
2019-05-07T22:46:54.000000Z,2.4845,2.077
2019-05-07T22:46:54.500000Z,2.32825,1.9115
2019-05-07T22:46:54.601125Z,2.172,1.746
2019-05-07T22:46:55.000000Z,1.9646000000000001,1.9398
2019-05-07T22:46:55.500000Z,1.7572,2.1336
2019-05-07T22:46:56.000000Z,1.5498,2.3274
2019-05-07T22:46:56.500000Z,1.3424,2.5212
2019-05-07T22:46:56.826125Z,1.135,2.715
2019-05-07T22:46:57.000000Z,1.13625,2.99225
2019-05-07T22:46:57.500000Z,1.1375,3.2695
2019-05-07T22:46:58.000000Z,1.13875,3.54675
2019-05-07T22:46:58.275125Z,1.14,3.824
2019-05-07T22:46:58.500000Z,1.1475,4.1665
