beaconid,edgenodeid,gamma,bias,edge_x,edge_y,edge_z
1,50,2.4236346439340326,-49.98961659262111,0.579,7.88,1.6
1,51,2.063401230149156,-52.18821788287532,0.0,3.431,1.6
1,52,1.4663319885125663,-53.88490304194817,1.942,0.0,1.6
1,53,1.091602485224019,-58.0438822838417,4.908,0.0,1.6
1,54,2.765752330236618,-45.19630246137937,10.091000000000001,0.0,1.6
1,55,2.8117290534282726,-46.95385177823494,9.978,3.89,1.6
1,56,2.606504156513716,-47.91310773109187,8.017000000000001,7.9270000000000005,1.6
1,57,1.1903403236433754,-58.2662723701223,5.114,7.16,1.6
1,58,1.8134671006990661,-55.46353308516549,4.95,4.239,1.6
3,50,2.1521788949972542,-58.675232928823554,0.579,7.88,1.6
3,51,2.1096368962200747,-58.3547170728731,0.0,3.431,1.6
3,52,1.9033567061691867,-57.96601060760765,1.942,0.0,1.6
3,53,1.2110628368735263,-63.315727707060226,4.908,0.0,1.6
3,54,2.365946510417831,-55.11269627920669,10.091000000000001,0.0,1.6
3,55,2.483679306777398,-55.87065399804958,9.978,3.89,1.6
3,56,2.113785388420804,-58.73239316088385,8.017000000000001,7.9270000000000005,1.6
3,57,1.3327874243427105,-64.48596167877862,5.114,7.16,1.6
3,58,2.2831450287305324,-59.676657112669076,4.95,4.239,1.6
6,50,2.7013639001246847,-51.092862240962866,0.579,7.88,1.6
6,51,5.647831657565982,-24.387217704920566,0.0,3.431,1.6
6,52,1.5320041846177757,-57.1619660272578,1.942,0.0,1.6
6,53,2.2192784494882596,-52.40588695743935,4.908,0.0,1.6
6,54,4.096460213077474,-34.46291205433128,10.091000000000001,0.0,1.6
6,55,2.2618477805500357,-51.44074699231668,9.978,3.89,1.6
6,56,3.739590312223423,-41.965607702048686,8.017000000000001,7.9270000000000005,1.6
6,57,2.804280126470584,-50.83819485399256,5.114,7.16,1.6
6,58,4.424740379452943,-42.98925407199249,4.95,4.239,1.6
8,50,2.0640318176894183,-58.38306530375632,0.579,7.88,1.6
8,51,1.942811131811342,-57.94528459028859,0.0,3.431,1.6
8,52,2.2432476541678685,-51.680013836439734,1.942,0.0,1.6
8,53,1.7744806076262942,-58.34618376924868,4.908,0.0,1.6
8,54,2.434468245786782,-53.39163528785951,10.091000000000001,0.0,1.6
8,55,2.9463657029081185,-49.69008151409627,9.978,3.89,1.6
8,56,2.2768035364817,-54.868572402081064,8.017000000000001,7.9270000000000005,1.6
8,57,2.0606955358431303,-59.51789220494538,5.114,7.16,1.6
8,58,2.96850696677742,-54.836421051285214,4.95,4.239,1.6
9,50,2.4718272945454998,-54.64454798839132,0.579,7.88,1.6
9,51,1.4473833698370182,-62.343681663204286,0.0,3.431,1.6
9,52,1.5595330162868721,-59.05637037101252,1.942,0.0,1.6
9,53,1.0,-64.14502924925009,4.908,0.0,1.6
9,54,1.9805630901639018,-57.578728521736046,10.091000000000001,0.0,1.6
9,55,1.9903677382632454,-58.38378733808911,9.978,3.89,1.6
9,56,2.015337582620341,-58.78775463942731,8.017000000000001,7.9270000000000005,1.6
9,57,1.4552871997716175,-62.54874594674367,5.114,7.16,1.6
9,58,2.0785731798978655,-59.32435964518015,4.95,4.239,1.6
