Datetime,accx,accy,accz
2018-09-27T21:09:26.904304Z,-0.02,-0.13,-0.18
2018-09-27T21:09:27.081304Z,0.07,0.08,0.03
2018-09-27T21:09:27.293304Z,-0.3,0.19,-0.2
2018-09-27T21:09:27.481304Z,0.36,0.17,1.08
2018-09-27T21:09:27.683304Z,-0.18,-0.19,-0.06
2018-09-27T21:09:27.862304Z,-0.55,0.41,-0.07
2018-09-27T21:09:28.055304Z,0.57,-1.54,1.52
2018-09-27T21:09:28.309304Z,0.09,0.02,3.2
2018-09-27T21:09:28.474304Z,-0.03,0.62,0.96
2018-09-27T21:09:28.685304Z,0.61,-0.84,2.98
2018-09-27T21:09:28.887304Z,-0.43,-0.28,0.69
2018-09-27T21:09:29.065304Z,0.12,1.13,1.09
2018-09-27T21:09:29.270304Z,0.44,0.14,0.95
2018-09-27T21:09:29.473304Z,0.89,-0.25,-2.06
2018-09-27T21:09:29.673304Z,-0.11,0.82,1.05
2018-09-27T21:09:29.853304Z,1.06,0.32,0.95
2018-09-27T21:09:30.063304Z,-0.8,-1.7,-0.82
2018-09-27T21:09:30.251304Z,0.51,-0.39,0.83
2018-09-27T21:09:30.445304Z,0.22,1.22,2.4
2018-09-27T21:09:30.645304Z,0.61,0.42,-0.16
2018-09-27T21:09:30.868304Z,-0.21,-0.21,-0.76
2018-09-27T21:09:31.079304Z,0.32,-1.39,1.33
2018-09-27T21:09:31.268304Z,-0.54,0.27,-0.26
2018-09-27T21:09:31.465304Z,-0.03,0.71,0.61
2018-09-27T21:09:31.694304Z,-0.01,0.55,-0.81
2018-09-27T21:09:31.868304Z,-0.27,-0.9,-1.21
2018-09-27T21:09:32.069304Z,-0.8,0.87,0.54
2018-09-27T21:09:32.268304Z,0.84,-0.14,-0.68
2018-09-27T21:09:32.469304Z,-0.75,-1.96,2.04
2018-09-27T21:09:32.668304Z,-0.13,-0.6,0.26
2018-09-27T21:09:32.863304Z,-0.11,0.73,0.53
2018-09-27T21:09:33.047304Z,-0.12,-0.17,-0.22
2018-09-27T21:09:33.244304Z,-0.75,0.04,-1.15
2018-09-27T21:09:33.470304Z,0.12,0.33,-0.21
2018-09-27T21:09:33.673304Z,0.3,0.05,-0.56
2018-09-27T21:09:33.874304Z,0.07,0.55,1.17
2018-09-27T21:09:34.071304Z,0.34,-0.74,0.15
2018-09-27T21:09:34.252304Z,-0.42,0.37,-0.72
2018-09-27T21:09:34.447304Z,0.36,0.35,0.53
2018-09-27T21:09:34.650304Z,0.0,-0.58,2.52
2018-09-27T21:09:34.844304Z,-0.01,-0.49,0.09
2018-09-27T21:09:35.037304Z,0.24,0.93,0.73
2018-09-27T21:09:35.244304Z,-0.2,-0.37,-0.06
2018-09-27T21:09:35.474304Z,0.92,-0.2,0.09
2018-09-27T21:09:35.633304Z,0.19,0.7,0.54
2018-09-27T21:09:35.837304Z,-0.34,-0.32,0.7
2018-09-27T21:09:36.050304Z,0.39,-0.54,-0.99
2018-09-27T21:09:36.225304Z,-0.36,-0.24,-0.69
2018-09-27T21:09:36.427304Z,0.61,0.24,0.03
2018-09-27T21:09:36.653304Z,-0.42,-0.06,-0.5
2018-09-27T21:09:36.841304Z,-0.26,-0.86,0.58
2018-09-27T21:09:37.046304Z,-0.56,-0.53,-1.39
2018-09-27T21:09:37.224304Z,-0.11,0.62,-0.28
2018-09-27T21:09:37.427304Z,0.0,0.72,0.25
2018-09-27T21:09:37.649304Z,0.52,-1.15,1.28
2018-09-27T21:09:37.843304Z,-0.41,-0.17,1.61
2018-09-27T21:09:38.059304Z,0.26,0.38,0.41
2018-09-27T21:09:38.262304Z,0.22,0.37,0.29
2018-09-27T21:09:38.434304Z,-0.83,-0.61,-1.35
2018-09-27T21:09:38.635304Z,-0.18,0.73,0.75
2018-09-27T21:09:38.858304Z,0.3,0.29,0.15
2018-09-27T21:09:39.072304Z,0.79,-1.07,0.98
2018-09-27T21:09:39.215304Z,-0.78,-0.08,-0.92
2018-09-27T21:09:39.416304Z,-0.27,0.71,0.18
2018-09-27T21:09:39.614304Z,0.09,-1.24,3.73
2018-09-27T21:09:39.815304Z,0.31,-0.63,-1.73
2018-09-27T21:09:40.013304Z,-0.01,1.9,0.86
2018-09-27T21:09:40.240304Z,0.69,-0.86,-0.11
2018-09-27T21:09:40.422304Z,-0.39,-0.43,-1.38
2018-09-27T21:09:40.620304Z,0.62,0.9,0.87
2018-09-27T21:09:40.823304Z,-0.56,0.14,0.24
2018-09-27T21:09:41.025304Z,-0.31,-1.54,-1.16
2018-09-27T21:09:41.233304Z,0.26,1.89,0.77
2018-09-27T21:09:41.433304Z,0.18,-0.21,-0.51
2018-09-27T21:09:41.632304Z,-0.81,-2.79,-3.06
2018-09-27T21:09:41.838304Z,-0.87,1.34,-0.94
2018-09-27T21:09:42.031304Z,0.04,0.2,0.18
2018-09-27T21:09:42.235304Z,0.36,-1.57,-4.04
2018-09-27T21:09:42.412304Z,-0.12,0.36,-0.76
2018-09-27T21:09:42.632304Z,0.0,0.17,-0.36
2018-09-27T21:09:42.812304Z,0.12,-1.59,-1.05
2018-09-27T21:09:43.003304Z,-1.19,0.17,-0.14
2018-09-27T21:09:43.230304Z,-1.19,0.21,0.61
2018-09-27T21:09:43.414304Z,0.48,0.71,0.48
2018-09-27T21:09:43.614304Z,-0.25,0.21,0.01
2018-09-27T21:09:43.809304Z,0.28,0.16,0.04
2018-09-27T21:09:44.029304Z,-0.38,-0.98,1.95
2018-09-27T21:09:44.203304Z,-0.26,-0.22,-0.36
2018-09-27T21:09:44.432304Z,0.31,0.76,0.53
2018-09-27T21:09:44.605304Z,0.51,0.4,0.7
2018-09-27T21:09:44.805304Z,0.16,-1.27,-2.87
2018-09-27T21:09:44.989304Z,-0.32,0.63,-0.21
2018-09-27T21:09:45.187304Z,-0.01,0.88,-0.36
2018-09-27T21:09:45.387304Z,-0.1,-1.51,1.82
2018-09-27T21:09:45.593304Z,-0.29,-0.41,-0.1
2018-09-27T21:09:45.795304Z,-0.57,0.42,0.21
2018-09-27T21:09:45.992304Z,0.81,0.33,1.54
2018-09-27T21:09:46.194304Z,-0.31,-1.08,-1.84
2018-09-27T21:09:46.398304Z,0.2,0.53,0.16
2018-09-27T21:09:46.601304Z,-0.31,0.98,0.82
2018-09-27T21:09:46.806304Z,-1.32,-2.68,-1.68
2018-09-27T21:09:46.982304Z,0.3,1.07,-1.8
2018-09-27T21:09:47.203304Z,0.05,0.62,0.65
2018-09-27T21:09:47.394304Z,0.2,-1.49,-0.28
2018-09-27T21:09:47.583304Z,-0.48,0.54,-1.37
2018-09-27T21:09:47.776304Z,-0.04,0.61,0.2
2018-09-27T21:09:47.999304Z,-0.5,-1.33,-0.94
2018-09-27T21:09:48.198304Z,0.56,0.47,-1.17
2018-09-27T21:09:48.385304Z,0.26,0.89,0.28
2018-09-27T21:09:48.586304Z,0.71,-1.38,1.06
2018-09-27T21:09:48.793304Z,-1.32,0.21,-1.41
2018-09-27T21:09:48.992304Z,-0.03,0.29,1.06
2018-09-27T21:09:49.211304Z,-0.96,-1.3,0.1
2018-09-27T21:09:49.388304Z,0.58,-0.06,-2.21
2018-09-27T21:09:49.572304Z,-0.33,1.55,1.2
2018-09-27T21:09:49.808304Z,0.71,-2.35,-0.06
2018-09-27T21:09:50.014304Z,-0.62,0.6,-1.05
2018-09-27T21:09:50.191304Z,0.81,0.83,0.34
2018-09-27T21:09:50.412304Z,0.6,-0.22,4.35
2018-09-27T21:09:50.612304Z,-0.19,-0.33,-0.57
2018-09-27T21:09:50.812304Z,0.02,0.7,1.52
2018-09-27T21:09:50.972304Z,-0.39,-0.07,-0.09
2018-09-27T21:09:51.172304Z,0.78,0.35,-1.89
2018-09-27T21:09:51.390304Z,-0.36,0.46,-1.81
2018-09-27T21:09:51.587304Z,-0.56,0.39,-1.38
2018-09-27T21:09:51.810304Z,-0.32,-0.08,-0.33
2018-09-27T21:09:51.988304Z,-0.25,-0.03,-0.21
2018-09-27T21:09:52.182304Z,-0.07,0.1,-0.02
2018-09-27T21:09:52.377304Z,0.05,-0.02,0.39
2018-09-27T21:09:52.574304Z,0.15,0.02,-0.41
2018-09-27T21:09:52.774304Z,0.07,0.21,-0.29
2018-09-27T21:09:52.954304Z,-0.33,-0.06,2.84
2018-09-27T21:09:53.162304Z,-0.22,-0.53,-0.4
2018-09-27T21:09:53.365304Z,0.13,0.26,-1.1
2018-09-27T21:09:53.558304Z,-0.36,0.57,0.13
2018-09-27T21:09:53.773304Z,0.8,-0.06,0.91
2018-09-27T21:09:53.983304Z,0.59,-0.84,-0.17
2018-09-27T21:09:54.164304Z,-0.21,0.23,-0.7
2018-09-27T21:09:54.386304Z,0.09,0.41,0.26
2018-09-27T21:09:54.588304Z,0.07,-0.1,1.18
2018-09-27T21:09:54.771304Z,-0.2,0.22,0.83
2018-09-27T21:09:54.969304Z,-0.17,0.0,-0.15
2018-09-27T21:09:55.171304Z,-0.05,0.18,-0.07
2018-09-27T21:09:55.365304Z,0.01,0.21,0.56
2018-09-27T21:09:55.568304Z,0.32,-0.79,2.04
2018-09-27T21:09:55.750304Z,-0.09,-0.41,0.28
2018-09-27T21:09:55.947304Z,0.06,0.72,0.74
2018-09-27T21:09:56.173304Z,0.4,0.19,0.19
2018-09-27T21:09:56.371304Z,-1.51,-1.54,-0.97
2018-09-27T21:09:56.547304Z,0.58,0.26,0.67
2018-09-27T21:09:56.755304Z,0.12,0.62,-0.88
2018-09-27T21:09:56.954304Z,-0.85,0.05,1.13
2018-09-27T21:09:57.156304Z,0.69,-0.84,1.85
2018-09-27T21:09:57.349304Z,-0.93,0.78,-2.77
2018-09-27T21:09:57.565304Z,-0.77,0.27,-0.28
2018-09-27T21:09:57.749304Z,0.2,0.13,0.1
2018-09-27T21:09:57.944304Z,-0.46,0.1,0.89
2018-09-27T21:09:58.150304Z,-0.05,-0.06,-0.36
2018-09-27T21:09:58.355304Z,-0.04,0.05,-0.11
2018-09-27T21:09:58.552304Z,0.15,0.24,-0.03
2018-09-27T21:09:58.731304Z,0.0,0.29,0.04
2018-09-27T21:09:58.932304Z,-0.5,-1.25,-0.33
2018-09-27T21:09:59.130304Z,0.09,-0.45,0.92
2018-09-27T21:09:59.345304Z,0.14,0.74,0.83
2018-09-27T21:09:59.528304Z,0.21,0.69,0.08
2018-09-27T21:09:59.729304Z,0.17,-1.47,-0.1
2018-09-27T21:09:59.949304Z,-0.57,0.42,0.28
2018-09-27T21:10:00.145304Z,0.11,0.46,-0.02
2018-09-27T21:10:00.329304Z,0.09,0.27,1.2
2018-09-27T21:10:00.533304Z,0.69,-0.61,1.76
2018-09-27T21:10:00.723304Z,-0.38,0.36,-0.8
2018-09-27T21:10:00.913304Z,0.07,-0.19,-0.62
2018-09-27T21:10:01.136304Z,0.0,0.29,0.33
2018-09-27T21:10:01.313304Z,-0.11,0.05,0.18
2018-09-27T21:10:01.536304Z,-0.3,0.12,-0.1
2018-09-27T21:10:01.734304Z,0.26,0.39,0.24
2018-09-27T21:10:01.939304Z,-0.46,-1.06,-0.12
2018-09-27T21:10:02.123304Z,-0.09,-0.42,-0.06
2018-09-27T21:10:02.338304Z,0.15,0.63,0.52
2018-09-27T21:10:02.541304Z,-0.27,0.34,-0.45
2018-09-27T21:10:02.713304Z,0.21,0.62,-1.23
2018-09-27T21:10:02.916304Z,0.46,-0.26,-1.42
2018-09-27T21:10:03.135304Z,0.62,0.62,0.12
2018-09-27T21:10:03.314304Z,-0.1,0.38,0.53
2018-09-27T21:10:03.519304Z,-0.26,-1.1,-1.92
2018-09-27T21:10:03.723304Z,0.57,-0.02,-1.29
2018-09-27T21:10:03.903304Z,0.09,0.55,0.95
2018-09-27T21:10:04.103304Z,-0.48,-1.21,-1.28
2018-09-27T21:10:04.347304Z,-0.21,-0.05,-1.28
2018-09-27T21:10:04.522304Z,-0.03,0.5,0.68
2018-09-27T21:10:04.703304Z,-1.06,-1.21,3.67
2018-09-27T21:10:04.904304Z,-0.19,-0.8,0.2
2018-09-27T21:10:05.106304Z,1.57,0.87,-1.3
2018-09-27T21:10:05.304304Z,0.35,0.86,-0.55
2018-09-27T21:10:05.504304Z,-0.31,0.12,-1.28
2018-09-27T21:10:05.706304Z,0.5,-0.97,-1.21
2018-09-27T21:10:05.906304Z,-0.72,0.65,0.86
2018-09-27T21:10:06.106304Z,0.03,-0.06,-0.01
2018-09-27T21:10:06.312304Z,0.49,-0.63,1.73
2018-09-27T21:10:06.512304Z,-0.56,-0.66,-1.01
2018-09-27T21:10:06.705304Z,0.59,1.6,0.53
2018-09-27T21:10:06.910304Z,-0.52,0.09,0.65
2018-09-27T21:10:07.112304Z,1.15,-1.77,-0.24
