Datetime,beaconid,realx,realy,edge_1,edge_2,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-24T19:04:48.500000Z,1,8.33757142857143,8.554714285714287,-91.5,-96.0,-76.5,-95.0,-86.0,-90.5,-56.333333333333336,-84.5
2018-09-24T19:04:49.000000Z,1,8.342142857142857,8.754428571428571,-88.0,-96.0,-71.5,-95.0,-86.0,-78.5,-64.5,-84.0
2018-09-24T19:04:49.500000Z,1,8.346714285714286,8.954142857142857,-88.0,-96.0,-71.5,-99.0,-83.5,-91.0,-57.0,-78.0
2018-09-24T19:04:50.000000Z,1,8.351285714285714,9.153857142857143,-83.0,-96.0,-78.75,-99.0,-78.0,-96.0,-60.0,-79.5
2018-09-24T19:04:50.500000Z,1,8.355857142857143,9.35357142857143,-83.0,-78.0,-83.0,-93.0,-81.0,-74.0,-72.0,-78.33333333333333
2018-09-24T19:04:51.000000Z,1,8.36042857142857,9.553285714285714,-81.5,-87.0,-80.5,-96.0,-76.2,-74.33333333333333,-54.333333333333336,-77.0
2018-09-24T19:04:51.500000Z,1,8.7955,9.735,-81.5,-87.0,-82.5,-96.0,-76.5,-84.0,-76.5,-79.0
2018-09-24T19:04:52.000000Z,1,9.225999999999999,9.716999999999999,-81.5,-87.0,-87.0,-92.0,-70.0,-83.0,-60.0,-74.0
2018-09-24T19:04:52.500000Z,1,9.6565,9.699,-81.0,-87.0,-92.0,-90.0,-75.0,-86.0,-67.0,-79.5
2018-09-24T19:04:53.000000Z,1,10.46375,9.697,-83.66666666666667,-87.0,-90.0,-90.0,-82.0,-81.5,-67.0,-71.0
2018-09-24T19:04:53.500000Z,1,10.840499999999999,9.713,-83.66666666666667,-83.5,-85.5,-90.0,-82.0,-81.5,-67.0,-73.5
2018-09-24T19:04:54.000000Z,1,11.21725,9.729,-72.33333333333333,-80.66666666666667,-77.0,-90.0,-77.0,-76.0,-78.5,-66.5
2018-09-24T19:04:54.500000Z,1,11.9424,9.7256,-77.5,-80.0,-79.0,-83.66666666666667,-83.0,-77.5,-73.0,-72.0
2018-09-24T19:04:55.000000Z,1,12.290799999999999,9.706199999999999,-77.5,-84.33333333333333,-82.0,-83.66666666666667,-78.33333333333333,-77.5,-81.66666666666667,-65.66666666666667
2018-09-24T19:04:55.500000Z,1,12.639199999999999,9.6868,-80.0,-76.33333333333333,-83.5,-83.5,-75.66666666666667,-90.0,-88.66666666666667,-74.33333333333333
2018-09-24T19:04:56.000000Z,1,12.9876,9.667399999999999,-80.0,-93.0,-86.0,-86.0,-80.5,-80.0,-94.0,-58.0
2018-09-24T19:04:56.500000Z,1,13.813,9.655,-80.0,-84.0,-81.0,-86.0,-74.0,-80.0,-81.5,-56.5
2018-09-24T19:04:57.000000Z,1,14.29,9.661999999999999,-80.5,-79.5,-81.0,-86.0,-76.5,-80.0,-74.5,-53.0
2018-09-24T19:04:57.500000Z,1,14.767,9.669,-77.0,-81.0,-86.5,-93.0,-70.0,-76.0,-90.0,-67.0
2018-09-24T19:04:58.000000Z,1,15.584,9.723,-82.5,-72.0,-85.5,-90.0,-78.5,-94.0,-90.0,-47.666666666666664
2018-09-24T19:04:58.500000Z,1,15.924,9.77,-83.0,-75.5,-84.66666666666667,-82.5,-76.5,-95.0,-94.0,-71.0
2018-09-24T19:04:59.000000Z,1,16.264,9.817,-83.0,-76.33333333333333,-78.5,-82.25,-75.0,-95.0,-85.0,-66.25
2018-09-24T19:04:59.500000Z,1,16.829999833333332,9.862166666666667,-76.5,-76.33333333333333,-78.5,-81.0,-82.0,-79.0,-79.0,-73.0
2018-09-24T19:05:00.000000Z,1,17.055999666666665,9.860333333333333,-71.0,-74.0,-78.0,-74.0,-82.0,-79.5,-70.5,-67.0
