Datetime,beaconid,edgenodeid,rssi,realx,realy
2018-10-15T21:12:54.500000Z,1,1,-73.0,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,2,-81.33333333333333,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,8,-80.0,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,11,-68.33333333333333,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,9,-78.66666666666667,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,10,-73.0,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,12,-62.0,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,13,-72.0,8.341000000000001,8.7045
2018-10-15T21:12:54.500000Z,1,3,-75.0,8.341000000000001,8.7045
2018-10-15T21:12:55.000000Z,1,2,-81.33333333333333,8.349,9.054
2018-10-15T21:12:55.000000Z,1,12,-45.0,8.349,9.054
2018-10-15T21:12:55.000000Z,1,11,-68.33333333333333,8.349,9.054
2018-10-15T21:12:55.000000Z,1,10,-61.75,8.349,9.054
2018-10-15T21:12:55.000000Z,1,9,-78.66666666666667,8.349,9.054
2018-10-15T21:12:55.000000Z,1,8,-58.666666666666664,8.349,9.054
2018-10-15T21:12:55.000000Z,1,1,-80.0,8.349,9.054
2018-10-15T21:12:55.000000Z,1,3,-79.66666666666667,8.349,9.054
2018-10-15T21:12:55.000000Z,1,13,-75.66666666666667,8.349,9.054
2018-10-15T21:12:55.500000Z,1,11,-66.0,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,2,-89.0,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,12,-49.666666666666664,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,8,-58.0,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,3,-90.5,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,10,-71.5,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,9,-90.0,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,1,-83.5,8.357,9.403500000000001
2018-10-15T21:12:55.500000Z,1,13,-74.0,8.357,9.403500000000001
2018-10-15T21:12:56.000000Z,1,13,-78.75,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,10,-77.0,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,9,-90.0,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,2,-82.0,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,8,-63.75,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,3,-85.0,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,12,-66.0,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,11,-74.5,7.91425,9.7335
2018-10-15T21:12:56.000000Z,1,1,-83.5,7.91425,9.7335
2018-10-15T21:12:56.500000Z,1,9,-90.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,2,-82.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,11,-70.5,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,10,-73.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,1,-82.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,3,-81.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,12,-69.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,13,-79.0,7.4635,9.714
2018-10-15T21:12:56.500000Z,1,8,-52.5,7.4635,9.714
2018-10-15T21:12:57.000000Z,1,8,-74.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,10,-73.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,12,-66.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,13,-79.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,11,-79.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,9,-85.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,2,-82.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,1,-82.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.000000Z,1,3,-86.0,7.0127500000000005,9.694500000000001
2018-10-15T21:12:57.500000Z,1,13,-85.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,10,-85.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,12,-89.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,11,-70.66666666666667,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,8,-52.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,3,-88.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,9,-98.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,2,-80.0,6.111,10.007333333333333
2018-10-15T21:12:57.500000Z,1,1,-82.0,6.111,10.007333333333333
2018-10-15T21:12:58.000000Z,1,2,-80.0,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,10,-78.66666666666667,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,12,-91.0,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,11,-65.5,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,3,-88.0,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,8,-59.666666666666664,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,1,-86.5,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,9,-98.0,5.66,10.339666666666668
2018-10-15T21:12:58.000000Z,1,13,-79.5,5.66,10.339666666666668
2018-10-15T21:12:58.500000Z,1,3,-88.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,9,-98.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,10,-90.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,1,-81.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,11,-79.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,13,-78.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,12,-85.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,8,-54.0,4.866499999999999,10.66525
2018-10-15T21:12:58.500000Z,1,2,-94.0,4.866499999999999,10.66525
2018-10-15T21:12:59.000000Z,1,8,-51.333333333333336,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,11,-65.0,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,13,-87.5,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,2,-87.0,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,10,-90.0,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,3,-84.0,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,12,-70.0,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,1,-86.33333333333333,4.524,10.6585
2018-10-15T21:12:59.000000Z,1,9,-89.0,4.524,10.6585
2018-10-15T21:12:59.500000Z,1,12,-67.75,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,13,-82.5,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,2,-85.33333333333333,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,11,-67.75,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,1,-86.33333333333333,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,10,-77.66666666666667,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,3,-85.0,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,8,-56.333333333333336,4.1815,10.65175
2018-10-15T21:12:59.500000Z,1,9,-86.0,4.1815,10.65175
2018-10-15T21:13:00.000000Z,1,9,-80.5,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,2,-75.0,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,3,-81.0,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,10,-78.5,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,1,-79.0,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,11,-80.5,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,13,-91.0,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,8,-53.333333333333336,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.000000Z,1,12,-65.5,3.3646666666666665,10.666666666666666
2018-10-15T21:13:00.500000Z,1,9,-82.0,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,8,-53.666666666666664,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,11,-67.0,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,12,-67.66666666666667,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,1,-83.0,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,2,-75.0,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,13,-80.5,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,3,-88.66666666666667,2.8903333333333334,10.688333333333334
2018-10-15T21:13:00.500000Z,1,10,-71.5,2.8903333333333334,10.688333333333334
2018-10-15T21:13:01.000000Z,1,9,-78.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,12,-67.66666666666667,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,10,-87.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,13,-80.5,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,11,-62.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,2,-95.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,1,-83.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,3,-84.0,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.000000Z,1,8,-49.333333333333336,1.9686666666666666,10.699666666666667
2018-10-15T21:13:01.500000Z,1,13,-86.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,8,-54.333333333333336,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,3,-84.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,1,-86.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,10,-78.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,12,-68.33333333333333,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,2,-85.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,9,-91.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:01.500000Z,1,11,-67.0,1.5213333333333332,10.689333333333334
2018-10-15T21:13:02.000000Z,1,10,-72.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,9,-81.5,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,3,-92.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,13,-90.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,1,-80.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,8,-53.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,2,-80.0,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,11,-68.75,0.96125,10.21775
2018-10-15T21:13:02.000000Z,1,12,-72.66666666666667,0.96125,10.21775
2018-10-15T21:13:02.500000Z,1,9,-81.5,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,10,-83.5,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,11,-70.66666666666667,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,2,-84.5,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,13,-77.5,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,3,-86.0,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,8,-58.0,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,1,-89.0,0.8485,9.756499999999999
2018-10-15T21:13:02.500000Z,1,12,-74.0,0.8485,9.756499999999999
2018-10-15T21:13:03.000000Z,1,8,-61.0,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,2,-84.5,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,3,-93.0,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,11,-66.66666666666667,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,12,-77.33333333333333,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,9,-81.5,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,13,-88.5,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,1,-89.0,0.73575,9.29525
2018-10-15T21:13:03.000000Z,1,10,-79.33333333333333,0.73575,9.29525
2018-10-15T21:13:03.500000Z,1,12,-73.0,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,2,-99.0,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,11,-55.5,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,13,-80.5,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,9,-83.5,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,1,-85.0,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,3,-93.0,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,8,-56.5,0.61575,8.34225
2018-10-15T21:13:03.500000Z,1,10,-85.33333333333333,0.61575,8.34225
2018-10-15T21:13:04.000000Z,1,9,-75.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,1,-82.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,10,-70.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,3,-93.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,8,-70.75,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,13,-77.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,11,-46.0,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,12,-77.5,0.6085,7.8505
2018-10-15T21:13:04.000000Z,1,2,-98.0,0.6085,7.8505
2018-10-15T21:13:04.500000Z,1,8,-70.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,11,-57.333333333333336,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,9,-87.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,1,-73.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,2,-98.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,10,-78.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,3,-82.5,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,13,-90.0,0.60125,7.35875
2018-10-15T21:13:04.500000Z,1,12,-70.5,0.60125,7.35875
2018-10-15T21:13:05.000000Z,1,9,-80.5,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,1,-74.5,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,13,-90.0,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,8,-70.0,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,11,-58.75,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,10,-82.66666666666667,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,12,-85.0,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,2,-98.0,0.5805,6.44425
2018-10-15T21:13:05.000000Z,1,3,-82.5,0.5805,6.44425
2018-10-15T21:13:05.500000Z,1,8,-74.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,10,-70.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,1,-84.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,11,-61.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,9,-89.5,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,13,-79.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,12,-86.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,2,-98.0,0.567,6.0215
2018-10-15T21:13:05.500000Z,1,3,-82.5,0.567,6.0215
2018-10-15T21:13:06.000000Z,1,8,-75.33333333333333,0.5535,5.59875
2018-10-15T21:13:06.000000Z,1,9,-95.0,0.5535,5.59875
2018-10-15T21:13:06.000000Z,1,13,-79.0,0.5535,5.59875
2018-10-15T21:13:06.000000Z,1,12,-73.33333333333333,0.5535,5.59875
