Datetime,realx,realy
2018-10-18T00:18:51.242220Z,8.333,8.355
2018-10-18T00:18:51.500000Z,8.343666666666667,8.821
2018-10-18T00:18:52.000000Z,8.354333333333333,9.287
2018-10-18T00:18:52.156220Z,8.365,9.753
2018-10-18T00:18:52.500000Z,7.9705,9.867875
2018-10-18T00:18:53.000000Z,7.5760000000000005,9.98275
2018-10-18T00:18:53.500000Z,7.1815,10.097625
2018-10-18T00:18:54.000000Z,6.787,10.2125
2018-10-18T00:18:54.500000Z,6.3925,10.327375
2018-10-18T00:18:55.000000Z,5.997999999999999,10.442250000000001
2018-10-18T00:18:55.500000Z,5.6034999999999995,10.557125000000001
2018-10-18T00:18:55.500220Z,5.209,10.672
2018-10-18T00:18:56.000000Z,4.752333333333333,10.663
2018-10-18T00:18:56.500000Z,4.2956666666666665,10.654
2018-10-18T00:18:56.936220Z,3.839,10.645
2018-10-18T00:18:57.000000Z,3.48325,10.661249999999999
2018-10-18T00:18:57.500000Z,3.1275,10.6775
2018-10-18T00:18:58.000000Z,2.77175,10.693750000000001
2018-10-18T00:18:58.003220Z,2.416,10.71
2018-10-18T00:18:58.500000Z,1.9686666666666666,10.699666666666667
2018-10-18T00:18:59.000000Z,1.5213333333333332,10.689333333333334
2018-10-18T00:18:59.071220Z,1.074,10.679
2018-10-18T00:18:59.500000Z,0.9838,10.31
2018-10-18T00:19:00.000000Z,0.8936000000000001,9.941
2018-10-18T00:19:00.500000Z,0.8034,9.572
2018-10-18T00:19:01.000000Z,0.7132000000000001,9.203
2018-10-18T00:19:01.116220Z,0.623,8.834
2018-10-18T00:19:01.500000Z,0.61575,8.34225
2018-10-18T00:19:02.000000Z,0.6085,7.8505
2018-10-18T00:19:02.500000Z,0.60125,7.35875
2018-10-18T00:19:02.591220Z,0.594,6.867
2018-10-18T00:19:03.000000Z,0.5805,6.44425
2018-10-18T00:19:03.500000Z,0.567,6.0215
2018-10-18T00:19:04.000000Z,0.5535,5.59875
2018-10-18T00:19:04.275220Z,0.54,5.176
2018-10-18T00:19:04.500000Z,0.5402,4.846
2018-10-18T00:19:05.000000Z,0.5404,4.516
2018-10-18T00:19:05.500000Z,0.5406000000000001,4.186
2018-10-18T00:19:06.000000Z,0.5408000000000001,3.856
2018-10-18T00:19:06.165220Z,0.541,3.526
2018-10-18T00:19:06.500000Z,0.921,3.5256666666666665
2018-10-18T00:19:07.000000Z,1.3010000000000002,3.525333333333333
2018-10-18T00:19:07.088220Z,1.681,3.525
2018-10-18T00:19:07.500000Z,2.1253333333333333,3.538
2018-10-18T00:19:08.000000Z,2.5696666666666665,3.551
2018-10-18T00:19:08.359220Z,3.014,3.564
2018-10-18T00:19:08.500000Z,3.0845,3.885
2018-10-18T00:19:09.000000Z,3.155,4.2059999999999995
2018-10-18T00:19:09.500000Z,3.2255,4.527
2018-10-18T00:19:09.819220Z,3.296,4.848
2018-10-18T00:19:10.000000Z,3.5946,4.8528
2018-10-18T00:19:10.500000Z,3.8931999999999998,4.8576
2018-10-18T00:19:11.000000Z,4.1918,4.8624
2018-10-18T00:19:11.500000Z,4.490399999999999,4.8671999999999995
2018-10-18T00:19:11.653220Z,4.789,4.872
2018-10-18T00:19:12.000000Z,5.0283999999999995,4.6164
2018-10-18T00:19:12.500000Z,5.267799999999999,4.3608
2018-10-18T00:19:13.000000Z,5.507199999999999,4.1052
2018-10-18T00:19:13.500000Z,5.7466,3.8495999999999997
2018-10-18T00:19:13.585220Z,5.986,3.594
2018-10-18T00:19:14.000000Z,5.966666666666667,3.228666666666667
2018-10-18T00:19:14.500000Z,5.947333333333333,2.8633333333333333
2018-10-18T00:19:14.996220Z,5.928,2.498
2018-10-18T00:19:15.000000Z,6.346,2.54725
2018-10-18T00:19:15.500000Z,6.763999999999999,2.5965
2018-10-18T00:19:16.000000Z,7.1819999999999995,2.64575
