Datetime,beaconid,realx,realy,edge_1,edge_2,edge_3,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-11-01T20:36:08.000000Z,1,8.333,8.355,-78.0,-71.0,-76.0,-68.0,-73.0,-87.5,-72.0,-56.0,-70.0
2018-11-01T20:36:08.500000Z,1,8.349,9.054,-78.0,-71.0,-76.0,-68.0,-73.0,-87.5,-72.0,-48.0,-70.0
2018-11-01T20:36:09.000000Z,1,7.91425,9.7335,-78.0,-82.66666666666667,-85.25,-70.75,-81.6,-69.5,-69.0,-63.0,-76.25
2018-11-01T20:36:09.500000Z,1,7.4635,9.714,-84.5,-83.33333333333333,-96.0,-57.0,-81.5,-73.5,-74.0,-42.0,-74.0
2018-11-01T20:36:10.000000Z,1,7.0127500000000005,9.694500000000001,-84.5,-86.0,-80.0,-57.0,-90.5,-88.0,-74.0,-66.5,-81.0
2018-11-01T20:36:10.500000Z,1,6.195,9.52725,-89.0,-86.0,-91.0,-58.0,-84.0,-89.0,-59.5,-72.66666666666667,-78.66666666666667
2018-11-01T20:36:11.000000Z,1,5.828,9.3795,-89.0,-94.0,-95.0,-66.33333333333333,-99.0,-89.0,-68.66666666666667,-73.33333333333333,-78.5
2018-11-01T20:36:11.500000Z,1,5.461,9.23175,-89.0,-80.5,-95.0,-54.333333333333336,-85.0,-79.0,-62.0,-69.75,-73.0
2018-11-01T20:36:12.000000Z,1,4.4135,9.0785,-86.0,-78.0,-95.0,-59.0,-85.0,-79.0,-71.0,-75.0,-85.5
2018-11-01T20:36:12.500000Z,1,3.296666666666667,9.057333333333334,-87.0,-78.0,-93.0,-47.0,-85.0,-91.0,-62.0,-72.0,-80.0
2018-11-01T20:36:13.000000Z,1,2.860333333333333,9.041666666666666,-87.0,-78.0,-93.0,-49.0,-79.0,-91.0,-68.0,-72.0,-84.0
2018-11-01T20:36:13.500000Z,1,1.97375,8.978,-87.0,-78.0,-93.0,-44.0,-79.0,-74.0,-83.0,-73.0,-75.0
2018-11-01T20:36:14.000000Z,1,1.5234999999999999,8.93,-87.0,-83.33333333333333,-83.5,-50.333333333333336,-87.66666666666667,-76.0,-82.5,-73.0,-82.0
2018-11-01T20:36:14.500000Z,1,1.07325,8.882,-87.0,-84.0,-83.0,-62.0,-82.0,-85.0,-59.0,-77.0,-78.5
2018-11-01T20:36:15.000000Z,1,0.61575,8.34225,-87.0,-84.0,-99.0,-58.0,-82.0,-80.5,-58.0,-72.0,-78.5
2018-11-01T20:36:15.500000Z,1,0.6085,7.8505,-80.0,-84.0,-88.0,-58.0,-82.0,-97.0,-67.0,-64.0,-80.0
2018-11-01T20:36:16.000000Z,1,0.60125,7.35875,-85.0,-84.0,-88.0,-60.0,-82.0,-97.0,-45.0,-68.0,-80.0
2018-11-01T20:36:16.500000Z,1,0.5805,6.44425,-85.0,-84.0,-88.0,-69.0,-86.5,-97.0,-45.0,-68.0,-85.0
2018-11-01T20:36:17.000000Z,1,0.567,6.0215,-81.0,-83.0,-82.5,-71.0,-86.0,-71.5,-66.0,-74.0,-86.0
2018-11-01T20:36:17.500000Z,1,0.5535,5.59875,-97.0,-93.0,-92.0,-71.0,-86.0,-88.0,-50.0,-73.5,-71.0
2018-11-01T20:36:18.000000Z,1,0.5403333333333333,4.626,-85.0,-88.0,-90.5,-73.33333333333333,-81.0,-79.0,-60.333333333333336,-78.0,-78.5
2018-11-01T20:36:18.500000Z,1,0.5406666666666667,4.076,-80.0,-86.5,-79.0,-70.0,-78.0,-71.0,-43.0,-67.0,-79.0
2018-11-01T20:36:19.000000Z,1,1.0356,3.5336,-77.0,-77.0,-79.66666666666667,-68.0,-88.5,-77.0,-60.0,-63.0,-77.5
2018-11-01T20:36:19.500000Z,1,1.5302,3.5412,-82.0,-83.0,-86.5,-67.0,-77.33333333333333,-77.0,-60.0,-63.0,-77.5
2018-11-01T20:36:20.000000Z,1,2.0248,3.5488,-68.0,-83.0,-92.0,-68.0,-78.5,-74.5,-65.0,-74.0,-70.0
2018-11-01T20:36:20.500000Z,1,2.5194,3.5564,-68.0,-80.0,-79.0,-68.0,-78.5,-68.0,-65.0,-77.33333333333333,-70.0
2018-11-01T20:36:21.000000Z,1,3.533333333333333,3.555,-84.0,-79.0,-71.0,-70.0,-80.0,-74.0,-64.0,-80.0,-72.0
2018-11-01T20:36:21.500000Z,1,4.052666666666667,3.546,-84.0,-80.0,-67.0,-68.5,-68.0,-67.66666666666667,-62.0,-80.0,-72.33333333333333
2018-11-01T20:36:22.000000Z,1,4.8548,3.5484,-63.0,-72.0,-75.0,-69.0,-65.0,-57.0,-82.0,-65.33333333333333,-64.5
2018-11-01T20:36:22.500000Z,1,5.1376,3.5598,-70.25,-72.0,-82.5,-75.0,-65.0,-69.33333333333333,-82.0,-65.33333333333333,-76.0
2018-11-01T20:36:23.000000Z,1,5.4204,3.5711999999999997,-73.0,-72.0,-71.5,-72.5,-63.5,-80.0,-70.0,-74.0,-74.0
2018-11-01T20:36:23.500000Z,1,5.7032,3.5826,-69.0,-72.5,-74.0,-72.5,-81.0,-61.0,-70.5,-61.5,-58.0
2018-11-01T20:36:24.000000Z,1,6.56,3.789333333333333,-75.0,-72.0,-74.0,-74.0,-74.5,-58.0,-65.0,-72.33333333333333,-54.0
2018-11-01T20:36:24.500000Z,1,7.134,3.9846666666666666,-73.5,-80.0,-83.0,-74.0,-66.5,-62.25,-76.0,-72.33333333333333,-64.66666666666667
2018-11-01T20:36:25.000000Z,1,8.289,4.220666666666666,-65.5,-78.5,-77.5,-85.5,-70.5,-73.0,-73.5,-71.66666666666667,-63.75
2018-11-01T20:36:25.500000Z,1,8.870000000000001,4.261333333333333,-70.66666666666667,-74.0,-66.0,-76.0,-75.5,-68.0,-79.0,-64.5,-67.25
2018-11-01T20:36:26.000000Z,1,9.7492,4.2584,-67.0,-80.0,-78.0,-87.0,-67.0,-73.0,-76.66666666666667,-59.0,-69.0
2018-11-01T20:36:26.500000Z,1,10.0474,4.214799999999999,-73.0,-80.0,-78.0,-87.0,-70.5,-60.0,-76.66666666666667,-70.0,-60.0
2018-11-01T20:36:27.000000Z,1,10.345600000000001,4.1712,-71.0,-72.0,-73.0,-88.0,-73.0,-55.0,-76.66666666666667,-70.0,-74.0
2018-11-01T20:36:27.500000Z,1,10.6438,4.127599999999999,-80.0,-81.33333333333333,-73.0,-70.0,-79.8,-53.333333333333336,-85.5,-73.0,-73.0
2018-11-01T20:36:28.000000Z,1,10.905,3.7419999999999995,-72.0,-75.0,-86.0,-70.0,-67.0,-57.5,-61.0,-77.5,-72.0
2018-11-01T20:36:28.500000Z,1,10.868,3.4,-72.0,-68.66666666666667,-77.0,-77.0,-75.25,-51.666666666666664,-72.5,-72.66666666666667,-76.5
