Datetime,beaconid,realx,realy,edge_1,edge_2,edge_3,edge_8,edge_10,edge_11,edge_12,edge_13
2018-10-22T23:27:22.000000Z,6,1.7915714285714286,1.935857142857143,-82.0,-82.0,-78.0,-70.0,-84.0,-71.0,-63.0,-90.0
2018-10-22T23:27:22.500000Z,6,1.7731428571428571,2.2007142857142856,-82.0,-82.0,-78.0,-66.0,-84.0,-71.0,-63.0,-90.0
2018-10-22T23:27:23.000000Z,6,1.7547142857142857,2.4655714285714287,-82.0,-82.0,-78.0,-90.0,-84.0,-68.0,-63.0,-95.0
2018-10-22T23:27:23.500000Z,6,1.7362857142857144,2.7304285714285714,-84.0,-82.0,-92.0,-68.0,-73.0,-72.0,-86.0,-83.0
2018-10-22T23:27:24.000000Z,6,1.717857142857143,2.995285714285714,-84.0,-82.0,-92.0,-71.0,-73.0,-72.0,-86.0,-83.0
2018-10-22T23:27:24.500000Z,6,1.6994285714285715,3.2601428571428572,-84.0,-82.0,-85.0,-71.0,-73.0,-66.0,-82.0,-83.0
2018-10-22T23:27:25.500000Z,6,2.1424285714285713,3.903,-84.0,-82.0,-77.0,-65.0,-73.0,-66.0,-82.0,-83.0
2018-10-22T23:27:26.000000Z,6,2.373142857142857,4.092,-84.0,-82.0,-79.0,-80.0,-97.0,-80.0,-82.0,-91.0
2018-10-22T23:27:26.500000Z,6,2.6038571428571426,4.281,-101.0,-100.0,-79.0,-68.0,-87.0,-92.0,-82.0,-72.0
2018-10-22T23:27:27.000000Z,6,2.8345714285714285,4.47,-84.0,-97.0,-79.0,-73.0,-74.0,-69.0,-67.0,-72.0
2018-10-22T23:27:27.500000Z,6,3.0652857142857144,4.659,-84.0,-97.0,-79.0,-67.0,-74.0,-69.0,-67.0,-75.5
2018-10-22T23:27:28.000000Z,6,3.5946,4.8528,-84.0,-85.0,-94.0,-74.0,-84.0,-65.0,-58.0,-75.5
2018-10-22T23:27:28.500000Z,6,3.8931999999999998,4.8576,-84.0,-81.0,-90.5,-85.0,-70.0,-59.0,-64.0,-91.0
2018-10-22T23:27:29.000000Z,6,4.1918,4.8624,-77.0,-81.0,-81.0,-73.0,-83.0,-83.0,-77.0,-73.0
2018-10-22T23:27:30.000000Z,6,4.7456,4.6049999999999995,-77.0,-81.0,-81.0,-73.0,-70.0,-71.0,-65.0,-73.0
2018-10-22T23:27:31.000000Z,6,4.6588,4.071,-90.0,-84.0,-78.0,-73.0,-68.0,-68.0,-65.0,-68.0
2018-10-22T23:27:31.500000Z,6,4.6154,3.804,-81.0,-84.0,-78.0,-82.0,-63.0,-76.0,-66.0,-68.0
2018-10-22T23:27:32.000000Z,6,4.807666666666667,3.5465,-77.0,-83.0,-96.0,-85.0,-63.0,-73.0,-84.0,-68.0
2018-10-22T23:27:32.500000Z,6,5.043333333333333,3.556,-81.5,-93.0,-85.0,-87.0,-77.0,-73.0,-84.0,-83.0
2018-10-22T23:27:33.000000Z,6,5.279,3.5655,-81.5,-83.0,-97.0,-77.0,-79.0,-76.5,-72.0,-75.0
2018-10-22T23:27:33.500000Z,6,5.514666666666667,3.5749999999999997,-81.5,-95.0,-92.0,-75.0,-79.0,-72.0,-80.0,-90.0
2018-10-22T23:27:34.000000Z,6,5.750333333333333,3.5845,-85.0,-95.0,-81.0,-74.0,-77.0,-70.0,-70.0,-63.0
2018-10-22T23:27:34.500000Z,6,5.9715,3.32,-68.0,-82.0,-83.0,-74.0,-79.0,-70.0,-68.0,-71.0
2018-10-22T23:27:35.000000Z,6,5.957,3.0460000000000003,-84.0,-82.0,-86.0,-76.0,-72.0,-70.0,-68.0,-87.0
2018-10-22T23:27:35.500000Z,6,5.9425,2.7720000000000002,-84.0,-82.0,-86.0,-91.0,-74.0,-60.0,-86.0,-87.0
2018-10-22T23:27:36.000000Z,6,5.9484,2.3008,-84.0,-94.0,-86.0,-91.0,-67.0,-60.0,-81.0,-80.0
2018-10-22T23:27:36.500000Z,6,5.9688,2.1036,-84.0,-94.0,-86.0,-91.0,-67.0,-61.0,-81.0,-80.0
2018-10-22T23:27:37.000000Z,6,5.9892,1.9064,-88.0,-78.0,-86.0,-91.0,-61.0,-62.0,-77.0,-84.0
2018-10-22T23:27:37.500000Z,6,6.0096,1.7092,-86.0,-78.0,-100.0,-91.0,-72.0,-69.0,-71.0,-66.0
2018-10-22T23:27:38.000000Z,6,6.270166666666666,1.5058333333333334,-83.0,-78.0,-98.0,-91.0,-78.0,-84.0,-67.0,-88.0
2018-10-22T23:27:38.500000Z,6,6.5103333333333335,1.4996666666666667,-77.0,-78.0,-90.0,-91.0,-80.0,-65.0,-67.0,-66.0
2018-10-22T23:27:39.000000Z,6,6.750500000000001,1.4935,-86.0,-78.0,-90.0,-93.0,-60.0,-76.0,-67.0,-66.0
2018-10-22T23:27:39.500000Z,6,6.990666666666667,1.4873333333333334,-83.0,-76.0,-90.0,-93.0,-55.0,-89.0,-86.0,-74.0
2018-10-22T23:27:40.000000Z,6,7.230833333333333,1.4811666666666667,-84.0,-74.0,-90.0,-93.0,-72.0,-89.0,-86.0,-76.0
2018-10-22T23:27:40.500000Z,6,7.514,1.8816666666666666,-69.0,-77.0,-90.0,-69.0,-72.0,-95.0,-60.0,-66.0
2018-10-22T23:27:41.000000Z,6,7.5569999999999995,2.288333333333333,-79.0,-85.0,-80.0,-67.0,-71.0,-78.0,-59.0,-73.0
2018-10-22T23:27:41.500000Z,6,7.6216,2.992,-79.0,-85.0,-76.0,-69.0,-71.0,-78.0,-59.0,-67.0
2018-10-22T23:27:42.000000Z,6,7.6432,3.2889999999999997,-79.0,-94.0,-90.0,-73.0,-69.0,-74.0,-78.0,-74.0
2018-10-22T23:27:42.500000Z,6,7.6648,3.586,-79.0,-89.0,-90.0,-73.0,-61.0,-72.0,-84.0,-81.0
2018-10-22T23:27:43.000000Z,6,7.6864,3.883,-97.0,-82.0,-85.0,-73.0,-72.0,-71.0,-84.0,-75.0
2018-10-22T23:27:43.500000Z,6,7.7835,4.5195,-95.0,-82.0,-83.0,-74.0,-73.0,-67.0,-72.0,-75.0
2018-10-22T23:27:44.000000Z,6,7.859,4.859,-75.0,-82.0,-83.0,-88.0,-70.0,-87.0,-67.0,-77.0
2018-10-22T23:27:44.500000Z,6,7.9345,5.1985,-75.0,-82.0,-84.0,-88.0,-73.0,-68.0,-61.0,-68.0
2018-10-22T23:27:45.000000Z,6,8.407499999999999,5.55775,-69.0,-82.0,-82.0,-88.0,-78.0,-95.0,-60.0,-65.0
2018-10-22T23:27:45.500000Z,6,8.805,5.577500000000001,-87.0,-82.0,-87.0,-91.0,-67.0,-73.0,-55.0,-68.0
2018-10-22T23:27:46.000000Z,6,9.2025,5.59725,-87.0,-82.0,-87.0,-70.0,-72.0,-73.0,-64.0,-68.0
2018-10-22T23:27:46.500000Z,6,9.5702,5.354,-94.0,-82.0,-87.0,-75.0,-62.0,-73.0,-64.0,-62.0
2018-10-22T23:27:47.000000Z,6,9.5404,5.091,-85.0,-82.0,-77.0,-73.0,-79.0,-73.0,-89.0,-79.0
