Datetime,realx,realy
2018-11-01T19:50:31.977306Z,8.333,8.355
2018-11-01T19:50:32.000000Z,8.610833333333334,8.352
2018-11-01T19:50:32.500000Z,8.888666666666667,8.349
2018-11-01T19:50:33.000000Z,9.1665,8.346
2018-11-01T19:50:33.500000Z,9.444333333333333,8.343
2018-11-01T19:50:34.000000Z,9.722166666666666,8.34
2018-11-01T19:50:34.238306Z,10.0,8.337
2018-11-01T19:50:34.500000Z,10.0174,8.6058
2018-11-01T19:50:35.000000Z,10.0348,8.8746
2018-11-01T19:50:35.500000Z,10.0522,9.1434
2018-11-01T19:50:36.000000Z,10.0696,9.412199999999999
2018-11-01T19:50:36.245306Z,10.087,9.681
2018-11-01T19:50:36.500000Z,10.388399999999999,9.6938
2018-11-01T19:50:37.000000Z,10.6898,9.7066
2018-11-01T19:50:37.500000Z,10.9912,9.719399999999998
2018-11-01T19:50:38.000000Z,11.2926,9.732199999999999
2018-11-01T19:50:38.473306Z,11.594,9.745
2018-11-01T19:50:38.500000Z,11.787555555555555,9.734222222222222
2018-11-01T19:50:39.000000Z,11.98111111111111,9.723444444444445
2018-11-01T19:50:39.500000Z,12.174666666666667,9.712666666666665
2018-11-01T19:50:40.000000Z,12.368222222222222,9.701888888888888
2018-11-01T19:50:40.500000Z,12.561777777777777,9.69111111111111
2018-11-01T19:50:41.000000Z,12.755333333333333,9.680333333333333
2018-11-01T19:50:41.500000Z,12.948888888888888,9.669555555555554
2018-11-01T19:50:42.000000Z,13.142444444444445,9.658777777777777
2018-11-01T19:50:42.269306Z,13.336,9.648
2018-11-01T19:50:42.500000Z,13.2408,9.3232
2018-11-01T19:50:43.000000Z,13.1456,8.9984
2018-11-01T19:50:43.500000Z,13.0504,8.673599999999999
2018-11-01T19:50:44.000000Z,12.9552,8.348799999999999
2018-11-01T19:50:44.454306Z,12.86,8.024
2018-11-01T19:50:44.500000Z,13.124888888888888,8.207555555555555
2018-11-01T19:50:45.000000Z,13.389777777777777,8.39111111111111
2018-11-01T19:50:45.500000Z,13.654666666666666,8.574666666666666
2018-11-01T19:50:46.000000Z,13.919555555555554,8.758222222222221
2018-11-01T19:50:46.500000Z,14.184444444444445,8.941777777777778
2018-11-01T19:50:47.000000Z,14.449333333333334,9.125333333333334
2018-11-01T19:50:47.500000Z,14.714222222222222,9.30888888888889
2018-11-01T19:50:48.000000Z,14.979111111111111,9.492444444444445
2018-11-01T19:50:48.156306Z,15.244,9.676
2018-11-01T19:50:48.500000Z,15.222166666666666,9.452166666666667
2018-11-01T19:50:49.000000Z,15.200333333333333,9.228333333333333
2018-11-01T19:50:49.500000Z,15.1785,9.0045
2018-11-01T19:50:50.000000Z,15.156666666666666,8.780666666666667
2018-11-01T19:50:50.500000Z,15.134833333333333,8.556833333333334
2018-11-01T19:50:50.685306Z,15.113,8.333
2018-11-01T19:50:51.000000Z,15.299375,8.524375000000001
2018-11-01T19:50:51.500000Z,15.48575,8.71575
2018-11-01T19:50:52.000000Z,15.672125,8.907125
2018-11-01T19:50:52.500000Z,15.8585,9.098500000000001
2018-11-01T19:50:53.000000Z,16.044874999999998,9.289875
2018-11-01T19:50:53.500000Z,16.23125,9.481250000000001
2018-11-01T19:50:54.000000Z,16.417625,9.672625
2018-11-01T19:50:54.341306Z,16.604,9.864
2018-11-01T19:50:54.500000Z,16.8751998,9.8618
2018-11-01T19:50:55.000000Z,17.1463996,9.8596
2018-11-01T19:50:55.500000Z,17.4175994,9.8574
2018-11-01T19:50:56.000000Z,17.6887992,9.8552
2018-11-01T19:50:56.346306Z,17.959999,9.853
2018-11-01T19:50:56.500000Z,17.851999166666666,9.602666666666666
2018-11-01T19:50:57.000000Z,17.743999333333335,9.352333333333334
2018-11-01T19:50:57.500000Z,17.6359995,9.102
2018-11-01T19:50:58.000000Z,17.527999666666666,8.851666666666667
2018-11-01T19:50:58.500000Z,17.419999833333335,8.601333333333335
2018-11-01T19:50:58.836306Z,17.312,8.351
2018-11-01T19:50:59.000000Z,17.2955,7.9435
2018-11-01T19:50:59.500000Z,17.279,7.5360000000000005
2018-11-01T19:51:00.000000Z,17.2625,7.128500000000001
2018-11-01T19:51:00.154306Z,17.246,6.721
2018-11-01T19:51:00.500000Z,17.23600014285714,6.496428571428572
2018-11-01T19:51:01.000000Z,17.226000285714285,6.271857142857143
2018-11-01T19:51:01.500000Z,17.216000428571427,6.047285714285715
2018-11-01T19:51:02.000000Z,17.20600057142857,5.8227142857142855
2018-11-01T19:51:02.500000Z,17.196000714285713,5.598142857142857
2018-11-01T19:51:03.000000Z,17.186000857142858,5.373571428571429
2018-11-01T19:51:03.014306Z,17.176001,5.149
2018-11-01T19:51:03.500000Z,17.390834166666664,5.1386666666666665
2018-11-01T19:51:04.000000Z,17.605667333333333,5.128333333333333
2018-11-01T19:51:04.500000Z,17.8205005,5.118
2018-11-01T19:51:05.000000Z,18.035333666666666,5.107666666666667
2018-11-01T19:51:05.500000Z,18.25016683333333,5.097333333333333
2018-11-01T19:51:05.572306Z,18.465,5.087
2018-11-01T19:51:06.000000Z,18.50425,5.5175
2018-11-01T19:51:06.500000Z,18.5435,5.948
2018-11-01T19:51:07.000000Z,18.58275,6.3785
2018-11-01T19:51:07.179306Z,18.622,6.809
2018-11-01T19:51:07.500000Z,18.63025025,7.2245
2018-11-01T19:51:08.000000Z,18.6385005,7.640000000000001
2018-11-01T19:51:08.500000Z,18.646750750000002,8.0555
2018-11-01T19:51:08.898306Z,18.655001000000002,8.471
2018-11-01T19:51:09.000000Z,18.5160006,8.7474
2018-11-01T19:51:09.500000Z,18.3770002,9.0238
2018-11-01T19:51:10.000000Z,18.2379998,9.3002
2018-11-01T19:51:10.500000Z,18.0989994,9.5766
2018-11-01T19:51:10.636306Z,17.959999,9.853
2018-11-01T19:51:11.000000Z,17.9194990625,9.759125
2018-11-01T19:51:11.500000Z,17.878999125,9.66525
2018-11-01T19:51:12.000000Z,17.8384991875,9.571375
2018-11-01T19:51:12.500000Z,17.79799925,9.4775
2018-11-01T19:51:13.000000Z,17.757499312500002,9.383625
2018-11-01T19:51:13.500000Z,17.716999375,9.28975
2018-11-01T19:51:14.000000Z,17.6764994375,9.195875000000001
2018-11-01T19:51:14.500000Z,17.6359995,9.102
2018-11-01T19:51:15.000000Z,17.595499562500002,9.008125
