Datetime,beaconid,realx,realy,edge_1,edge_2,edge_8,edge_9,edge_10,edge_11,edge_12,edge_13
2018-09-27T21:09:27.000000Z,9,9.59125,8.690999999999999,-88.5,-84.0,-80.0,-84.0,-80.5,-92.0,-53.0,-70.0
2018-09-27T21:09:27.500000Z,9,9.386875,8.868,-88.5,-98.0,-76.0,-84.0,-85.0,-70.0,-74.0,-70.0
2018-09-27T21:09:28.000000Z,9,9.182500000000001,9.045,-85.0,-98.0,-76.0,-96.0,-85.0,-75.0,-56.0,-73.0
2018-09-27T21:09:28.500000Z,9,8.978125,9.222,-85.0,-81.0,-76.0,-96.0,-78.5,-71.66666666666667,-64.33333333333333,-76.0
2018-09-27T21:09:29.000000Z,9,8.77375,9.399000000000001,-85.0,-86.0,-82.0,-96.0,-84.0,-82.0,-71.5,-80.33333333333333
2018-09-27T21:09:29.500000Z,9,8.569375,9.576,-85.0,-81.5,-68.25,-96.0,-77.0,-77.0,-55.0,-80.33333333333333
2018-09-27T21:09:30.000000Z,9,8.10742857142857,9.741857142857143,-86.0,-81.5,-74.0,-96.0,-82.0,-77.5,-47.0,-74.0
2018-09-27T21:09:30.500000Z,9,7.849857142857143,9.730714285714287,-84.0,-88.0,-65.33333333333333,-96.0,-82.0,-76.33333333333333,-68.25,-79.0
2018-09-27T21:09:31.000000Z,9,7.5922857142857145,9.71957142857143,-86.0,-88.0,-58.0,-82.0,-80.75,-71.33333333333333,-64.33333333333333,-81.0
2018-09-27T21:09:31.500000Z,9,7.334714285714286,9.708428571428572,-86.0,-88.0,-63.25,-96.0,-80.75,-75.66666666666667,-68.0,-89.66666666666667
2018-09-27T21:09:32.000000Z,9,7.077142857142857,9.697285714285714,-86.0,-84.0,-64.0,-96.0,-97.0,-87.0,-78.5,-88.0
2018-09-27T21:09:32.500000Z,9,6.819571428571429,9.686142857142858,-86.0,-84.0,-70.33333333333333,-96.0,-90.0,-69.0,-79.0,-94.0
2018-09-27T21:09:33.000000Z,9,6.557833333333334,9.9,-86.0,-84.0,-62.5,-96.0,-76.0,-70.5,-72.0,-94.0
2018-09-27T21:09:33.500000Z,9,6.5536666666666665,10.125,-86.0,-84.0,-73.0,-96.0,-85.0,-76.0,-59.0,-94.0
2018-09-27T21:09:34.000000Z,9,6.5495,10.350000000000001,-86.0,-87.0,-76.0,-96.0,-85.0,-80.5,-68.25,-94.0
2018-09-27T21:09:34.500000Z,9,6.545333333333334,10.575000000000001,-86.0,-87.0,-82.0,-96.0,-90.0,-72.0,-82.5,-94.0
2018-09-27T21:09:35.000000Z,9,6.541166666666666,10.8,-86.0,-87.0,-77.5,-96.0,-90.0,-82.33333333333333,-73.0,-84.0
