Datetime,accx,accy,accz
2018-10-23T17:32:50.794664Z,0.39,0.68,1.9
2018-10-23T17:32:50.992664Z,0.35,-0.28,0.08
2018-10-23T17:32:51.205664Z,-0.22,0.19,1.13
2018-10-23T17:32:51.409664Z,0.21,0.5,0.11
2018-10-23T17:32:51.795664Z,-0.53,0.39,-0.51
2018-10-23T17:32:51.800664Z,1.38,0.28,-0.25
2018-10-23T17:32:51.994664Z,-0.18,0.05,0.42
2018-10-23T17:32:52.196664Z,0.42,-1.05,0.33
2018-10-23T17:32:52.392664Z,-0.53,0.27,-2.53
2018-10-23T17:32:52.603664Z,0.29,0.73,1.36
2018-10-23T17:32:52.796664Z,-1.13,-2.4,2.6
2018-10-23T17:32:52.994664Z,0.26,0.14,-1.14
2018-10-23T17:32:53.194664Z,0.34,0.58,0.34
2018-10-23T17:32:53.392664Z,0.2,-1.67,2.68
2018-10-23T17:32:53.596664Z,-1.15,0.46,-1.46
2018-10-23T17:32:54.011664Z,0.68,0.69,0.05
2018-10-23T17:32:54.012664Z,0.27,-1.87,4.21
2018-10-23T17:32:54.197664Z,-0.07,0.54,-1.8
2018-10-23T17:32:54.393664Z,-0.33,0.63,-0.38
2018-10-23T17:32:54.602664Z,-0.51,0.17,0.3
2018-10-23T17:32:54.793664Z,1.28,0.02,0.8
2018-10-23T17:32:54.996664Z,-0.42,-0.84,0.9
2018-10-23T17:32:55.192664Z,0.3,1.31,1.74
2018-10-23T17:32:55.202664Z,0.06,0.55,-1.91
2018-10-23T17:32:55.402664Z,1.9,-0.45,1.01
2018-10-23T17:32:55.609664Z,-0.08,0.98,-0.4
2018-10-23T17:32:55.797664Z,0.21,0.17,1.13
2018-10-23T17:32:55.998664Z,-0.74,-0.63,-2.68
2018-10-23T17:32:56.210664Z,-0.03,0.48,-0.37
2018-10-23T17:32:56.401664Z,-0.12,0.66,1.47
2018-10-23T17:32:56.599664Z,0.11,-0.1,0.6
2018-10-23T17:32:56.797664Z,-1.3,-3.02,4.5
2018-10-23T17:32:57.002664Z,0.61,0.24,-0.81
2018-10-23T17:32:57.204664Z,0.22,0.83,-0.2
2018-10-23T17:32:57.398664Z,-0.28,0.17,0.28
2018-10-23T17:32:57.606664Z,1.0,0.52,0.89
2018-10-23T17:32:57.797664Z,0.43,0.16,-2.2
2018-10-23T17:32:57.998664Z,-0.94,1.08,2.73
2018-10-23T17:32:58.197664Z,0.01,0.56,-1.29
2018-10-23T17:32:58.452664Z,-0.05,-0.59,0.43
2018-10-23T17:32:58.597664Z,0.39,0.43,0.84
2018-10-23T17:32:58.800664Z,0.19,0.2,-0.72
2018-10-23T17:32:59.004664Z,0.19,0.75,-0.11
2018-10-23T17:32:59.201664Z,-0.28,-0.88,6.14
2018-10-23T17:32:59.403664Z,-0.03,-0.64,-0.52
2018-10-23T17:32:59.596664Z,0.72,0.88,-0.35
2018-10-23T17:32:59.803664Z,-0.03,0.88,0.56
2018-10-23T17:33:00.001664Z,-0.45,-2.94,2.52
2018-10-23T17:33:00.194664Z,-0.5,-0.44,-0.09
2018-10-23T17:33:00.411664Z,-0.01,1.01,-0.72
2018-10-23T17:33:00.598664Z,0.24,0.15,1.18
2018-10-23T17:33:00.802664Z,-0.15,0.59,-0.38
2018-10-23T17:33:01.003664Z,-0.5,-0.76,2.89
2018-10-23T17:33:01.210664Z,-0.35,-0.29,-1.55
2018-10-23T17:33:01.403664Z,-0.63,0.57,-0.59
2018-10-23T17:33:01.602664Z,0.72,0.12,0.57
2018-10-23T17:33:01.804664Z,-0.16,-1.25,-2.93
2018-10-23T17:33:01.997664Z,-0.57,0.05,-0.96
2018-10-23T17:33:02.201664Z,0.21,0.26,-0.8
2018-10-23T17:33:02.398664Z,-0.1,0.04,0.03
2018-10-23T17:33:02.603664Z,-0.01,1.26,-0.59
2018-10-23T17:33:02.803664Z,0.47,-0.68,0.51
2018-10-23T17:33:03.004664Z,-0.41,-0.72,0.58
2018-10-23T17:33:03.202664Z,-0.2,1.01,-0.78
2018-10-23T17:33:03.409664Z,0.2,0.16,0.02
2018-10-23T17:33:03.599664Z,0.87,-0.14,1.65
2018-10-23T17:33:03.798664Z,-0.43,0.12,-0.05
2018-10-23T17:33:04.001664Z,0.5,0.03,-0.66
2018-10-23T17:33:04.201664Z,-0.21,0.57,0.25
2018-10-23T17:33:04.401664Z,0.27,0.3,0.1
2018-10-23T17:33:04.604664Z,-0.33,-3.83,4.07
2018-10-23T17:33:04.811664Z,-0.37,0.03,-2.09
2018-10-23T17:33:04.998664Z,-0.2,0.91,-0.51
2018-10-23T17:33:05.194664Z,-0.24,-0.93,0.23
2018-10-23T17:33:05.399664Z,-0.31,0.91,-1.22
2018-10-23T17:33:05.600664Z,0.92,-0.51,0.03
2018-10-23T17:33:05.802664Z,-0.28,0.22,0.13
2018-10-23T17:33:06.001664Z,-0.4,0.02,-0.66
2018-10-23T17:33:06.204664Z,1.57,0.85,0.96
2018-10-23T17:33:06.404664Z,1.12,-0.44,-1.04
2018-10-23T17:33:06.602664Z,0.04,1.21,-0.74
2018-10-23T17:33:06.805664Z,-0.19,-0.18,-0.26
2018-10-23T17:33:07.007664Z,1.0,0.26,-1.49
